iteration,total_runs,obs_realization,par_realization,obj_fn,l_constraint
0,41,0,0,0,179817
0,41,1,1,0,82519.7
0,41,2,2,0,73464.1
0,41,3,3,0,74162.2
0,41,4,4,0,0
0,41,5,5,0,65070.4
0,41,6,6,0,33473.4
0,41,7,7,0,2470.17
0,41,8,8,0,1181.91
0,41,9,9,0,7692.23
0,41,10,10,0,52318.7
0,41,13,13,0,290678
0,41,14,14,0,17993.8
0,41,15,15,0,302658
0,41,16,16,0,5999.9
0,41,17,17,0,18716.4
0,41,18,18,0,65779.6
0,41,19,19,0,887.677
0,41,20,20,0,32519.1
0,41,21,21,0,36.2843
0,41,22,22,0,289375
0,41,23,23,0,7.45909
0,41,24,24,0,79328.3
0,41,25,25,0,31029.1
0,41,26,26,0,7863.59
0,41,28,28,0,14040.4
0,41,base,base,0,0
1,88,0,0,0,7093.48
1,88,1,1,0,25322.5
1,88,3,3,0,7011.59
1,88,4,4,0,0
1,88,5,5,0,39027.9
1,88,7,7,0,554.245
1,88,8,8,0,364.795
1,88,9,9,0,307.363
1,88,10,10,0,53.6767
1,88,13,13,0,17261.9
1,88,14,14,0,1662.31
1,88,15,15,0,21102.3
1,88,16,16,0,180.34
1,88,17,17,0,10948.7
1,88,18,18,0,7655.79
1,88,19,19,0,342.611
1,88,20,20,0,1922.21
1,88,21,21,0,4969.07
1,88,22,22,0,29714.2
1,88,23,23,0,2.6642
1,88,24,24,0,9286.89
1,88,25,25,0,110.205
1,88,26,26,0,1595.27
1,88,28,28,0,2106.45
1,88,base,base,0,0
2,133,0,0,0,1983.46
2,133,1,1,0,2557.03
2,133,3,3,0,703.428
2,133,4,4,0,2317.94
2,133,5,5,0,1702.05
2,133,7,7,0,31.0584
2,133,8,8,0,63.6608
2,133,9,9,0,1375.37
2,133,10,10,0,39.7144
2,133,13,13,0,143.248
2,133,14,14,0,64.3611
2,133,15,15,0,16.1107
2,133,16,16,0,439.976
2,133,19,19,0,0.623602
2,133,20,20,0,200.977
2,133,21,21,0,5483.38
2,133,23,23,0,34.4137
2,133,24,24,0,1432.29
2,133,25,25,0,0.0751941
2,133,26,26,0,614.43
2,133,28,28,0,1122.32
2,133,base,base,0,1622.64
3,175,0,0,0,0
3,175,1,1,0,0
3,175,3,3,0,81.8933
3,175,4,4,0,19.1178
3,175,7,7,0,50.2364
3,175,8,8,0,5.69118
3,175,9,9,0,0
3,175,10,10,0,16.8399
3,175,13,13,0,106.559
3,175,14,14,0,714.951
3,175,16,16,0,34.787
3,175,19,19,0,0
3,175,20,20,0,38.2187
3,175,23,23,0,0
3,175,24,24,0,89.3118
3,175,25,25,0,14.9441
3,175,28,28,0,6.85595
3,175,base,base,0,0
iteration,total_runs,obs_realization,par_realization,obj_fn,l_constraint
0,297,0,0,0,72367.6
0,297,1,1,0,56038
0,297,2,2,0,19245.9
0,297,3,3,0,161495
0,297,4,4,0,0
0,297,5,5,0,31445.9
0,297,6,6,0,841.727
0,297,7,7,0,15162.3
0,297,8,8,0,5024.51
0,297,9,9,0,15328.6
0,297,10,10,0,51777.8
0,297,11,11,0,1289.15
0,297,12,12,0,136733
0,297,13,13,0,180008
0,297,14,14,0,43691
0,297,15,15,0,201086
0,297,16,16,0,8540.76
0,297,17,17,0,0
0,297,18,18,0,115509
0,297,19,19,0,4558.09
0,297,20,20,0,62912.5
0,297,21,21,0,1451.88
0,297,22,22,0,312009
0,297,23,23,0,28.6694
0,297,24,24,0,21536.4
0,297,25,25,0,6622.91
0,297,26,26,0,16064.8
0,297,28,28,0,31693.2
0,297,base,base,0,0
1,346,0,0,0,314.655
1,346,1,1,0,6862.19
1,346,3,3,0,0
1,346,4,4,0,0
1,346,5,5,0,2948.21
1,346,7,7,0,2040.4
1,346,8,8,0,731.463
1,346,9,9,0,3567.06
1,346,10,10,0,2751.43
1,346,11,11,0,1790.18
1,346,12,12,0,0
1,346,13,13,0,3848.52
1,346,14,14,0,5671.55
1,346,16,16,0,1289.34
1,346,17,17,0,1696.92
1,346,18,18,0,500.095
1,346,19,19,0,407.843
1,346,20,20,0,0
1,346,21,21,0,258.54
1,346,22,22,0,4052.8
1,346,23,23,0,0
1,346,24,24,0,12304.5
1,346,25,25,0,803.67
1,346,26,26,0,1460.87
1,346,28,28,0,1861.18
1,346,base,base,0,150.882
2,392,0,0,0,0
2,392,1,1,0,8.46406
2,392,3,3,0,28.3636
2,392,4,4,0,0
2,392,5,5,0,639.073
2,392,8,8,0,339.265
2,392,10,10,0,181.588
2,392,11,11,0,59.0091
2,392,12,12,0,0
2,392,13,13,0,11.1793
2,392,14,14,0,662.1
2,392,16,16,0,369.98
2,392,17,17,0,23.2233
2,392,18,18,0,22.7804
2,392,19,19,0,47.8491
2,392,20,20,0,0
2,392,21,21,0,28.5133
2,392,22,22,0,572.245
2,392,23,23,0,3.65488
2,392,24,24,0,16.899
2,392,25,25,0,20.6253
2,392,26,26,0,201.552
2,392,28,28,0,0
2,392,base,base,0,0.307925
3,436,0,0,0,73.0021
3,436,1,1,0,20.1539
3,436,3,3,0,172.276
3,436,5,5,0,390.825
3,436,8,8,0,44.2211
3,436,10,10,0,199.944
3,436,11,11,0,3.76471
3,436,12,12,0,0
3,436,13,13,0,73.2479
3,436,14,14,0,191.356
3,436,16,16,0,421.869
3,436,17,17,0,32.9901
3,436,20,20,0,0
3,436,21,21,0,2.57338
3,436,22,22,0,250.561
3,436,23,23,0,0
3,436,24,24,0,44.7799
3,436,25,25,0,1.56565
3,436,26,26,0,33.2086
3,436,base,base,0,0
