iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,4,10000,1.49208e+06,1.29721e+06,0.5,1000,192516,136176
1,3,10000,1.49208e+06,1.29721e+06,1,1000,14571.7,6237.63
1,4,10000,1.49208e+06,1.29721e+06,0.5,10000,207132,142787
1,3,10000,1.49208e+06,1.29721e+06,1,10000,14855.6,9877.45
1,3,10000,1.49208e+06,1.29721e+06,0.5,100000,222972,76732.3
1,3,10000,1.49208e+06,1.29721e+06,1,100000,81625.6,28331.5
2,3,750,21895,16550.9,0.5,75,7593.35,5221.81
2,3,750,21895,16550.9,1,75,3439.59,1444.64
2,4,750,21895,16550.9,0.5,750,12375.3,7064.89
2,3,750,21895,16550.9,1,750,2375.76,610.916
2,4,750,21895,16550.9,0.5,7500,24547.4,11849.3
2,4,750,21895,16550.9,1,7500,13928.7,6226.81
3,3,562.5,2201.83,1599.99,0.5,56.25,327.507,254.423
3,3,562.5,2201.83,1599.99,1,56.25,83.4856,44.6267
3,3,562.5,2201.83,1599.99,0.5,562.5,575.906,488.571
3,3,562.5,2201.83,1599.99,1,562.5,204.288,179.517
3,3,562.5,2201.83,1599.99,0.5,5625,1108.83,921.954
3,3,562.5,2201.83,1599.99,1,5625,897.355,751.112
iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,4,10000,572490,521802,0.5,1000,66943.1,55648.9
1,4,10000,572490,521802,1,1000,12234,5765.15
1,4,10000,572490,521802,0.5,10000,79300.2,65450.1
1,4,10000,572490,521802,1,10000,14754,9322.67
1,4,10000,572490,521802,0.5,100000,188039,182303
1,3,10000,572490,521802,1,100000,40886.4,27736.9
2,4,750,11186.4,5152.32,0.5,75,4317.68,1770.66
2,4,750,11186.4,5152.32,1,75,4037.34,1619.36
2,3,750,11186.4,5152.32,0.5,750,4684.97,1917.91
2,4,750,11186.4,5152.32,1,750,3375.41,1598.27
2,3,750,11186.4,5152.32,0.5,7500,6542.22,1919.62
2,3,750,11186.4,5152.32,1,7500,5760.69,2056.17
3,4,562.5,3525.85,1550.89,0.5,56.25,3513.62,1065.07
3,4,562.5,3525.85,1550.89,1,56.25,3010.87,1527.31
3,4,562.5,3525.85,1550.89,0.5,562.5,3883.22,811.353
3,3,562.5,3525.85,1550.89,1,562.5,2826.28,515.362
3,4,562.5,3525.85,1550.89,0.5,5625,4507.5,852.092
3,4,562.5,3525.85,1550.89,1,5625,4350.74,838.311
