real_name,obj,g1,g2,g3,g4,g5,g6,g7,g8
0,128.973,-65.2115,-31.9809,-3.66635,-26.9481,-5.96566,17.7385,82.1854,-2.90894
1,301.093,-48.5212,-69.4667,-14.0683,-6.79167,82.8383,-62.8798,79.8153,-42.3648
3,209.52,-62.8651,-25.8939,6.10442,-29.5697,-4.59054,-17.7579,67.3483,-8.09343
4,434.522,-70.2459,-107.562,11.6999,24.6454,-74.4157,-3.8972,116.21,-38.6921
5,256.423,-26.9331,-9.89317,15.2052,-31.6838,54.2974,-44.6608,38.2898,30.4853
7,325.277,-96.4194,-129.653,15.3793,0.13866,-27.2965,45.1708,125.692,-20.4636
8,264.798,-93.3819,-177.165,18.8869,5.88828,24.5535,11.3398,59.6702,-0.856707
9,256.816,-193.306,-44.604,2.72138,15.0426,47.3031,36.4619,101.846,13.5177
10,149.116,-151.498,-29.5366,8.46719,-21.4543,-7.0808,52.4541,92.8497,6.53726
11,256.648,-102.135,-46.1104,8.04739,95.3111,-63.988,42.3105,94.2302,-47.0163
12,202.227,-92.8815,-56.9774,20.7793,-43.0811,-41.9045,-14.51,61.9303,-48.7422
13,353.327,-62.8777,-9.1019,-19.8074,-7.21174,61.7185,6.27292,38.3743,-38.6068
14,128.023,-108.353,-31.4743,35.4355,12.6205,-50.3535,75.3097,107.058,42.5676
16,285.319,-155.198,-138.759,16.4194,51.6998,6.74826,35.2676,70.1095,13.0455
17,432.528,-27.0743,-76.5406,12.792,107.985,41.1937,-44.8716,-5.38214,40.6849
18,257.043,-134.833,-37.9844,-1.23765,52.3576,-52.0388,22.3628,90.7239,-42.441
19,222.961,-59.8028,-120.566,27.0515,3.18347,6.45207,19.1367,87.7209,-5.99256
20,207.563,-54.2838,-57.875,46.9429,45.2542,-6.20886,-58.1618,69.6857,17.3833
21,176.727,-65.824,-51.9329,6.72604,20.0704,-20.9756,16.0792,28.6844,31.0504
22,153.455,-56.0503,-32.5565,-5.23247,5.28718,0.816381,63.6564,43.0538,-9.10674
23,390.201,-63.8167,-165.257,12.2755,30.1835,-8.46641,-4.1051,70.5576,-40.4337
24,313.226,-69.1161,-82.428,-15.0764,44.55,109.032,20.4087,48.6389,-48.0744
25,151.701,-118.183,-18.8816,15.8929,9.4916,-67.7801,28.3491,95.5546,-42.8504
26,252.095,-165.347,-139.26,36.4182,24.679,-50.3416,38.2213,88.3246,5.65441
28,260.96,-65.4583,-163.551,28.2675,-62.4587,43.1414,-45.5954,19.089,60.426
base,90.827,-95.3438,-49.3115,10.9378,10.7115,-12.8613,12.2834,80.2558,7.24737
