real_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,2.65468,-0.937401,3.44541,-1.93877,-2.51308,-0.746325,4.69545,6.56393,7.26945,2.55937
1,1.87255,-0.043584,1.99504,-4.84306,-3.02547,5.61231,6.13858,8.1428,7.36897,4.48749
3,2.61749,-0.304603,4.22419,-5.17647,-2.63746,0.607592,3.86842,5.75101,10,7.22652
4,0.860945,-2.17805,4.11971,4.73764,-0.74232,8.29018,8.82137,9.00705,7.92405,2.08814
5,2.91685,0.543945,4.65408,-8.28842,-2.5961,2.33308,2.92243,8.44071,9.57319,-0.0825091
8,-1.87252,0.608508,1.93964,-7.36842,-0.894698,-2.54413,9.61084,5.86955,6.3001,8.89979
10,2.44177,-0.761489,3.01393,-2.70882,-3.11643,-5.36214,3.22754,-2.79372,8.00696,0.166746
11,0.60386,-0.995988,5.88337,-0.703197,-1.73246,-2.06946,3.89103,3.73915,9.32481,7.32062
12,-0.289893,-0.0588915,5.13955,-0.0890061,-0.660697,1.9698,3.55871,3.2946,9.28246,7.22252
13,3.25958,-1.16277,4.92453,0.817598,0.184813,8.1892,3.67165,5.37364,10,7.70842
14,0.116019,-1.10803,4.31707,-0.182744,0.890891,1.05523,2.77436,3.78809,7.82455,-0.840644
16,1.76394,-1.38347,0.104229,-9.18034,-0.274244,3.21868,9.63968,-0.854017,10,4.3319
17,2.62929,0.435093,6.92036,-2.96271,-0.789894,6.94553,6.74909,9.60522,9.38218,2.07084
18,0.856727,-0.224443,6.71739,-2.58347,3.19506,8.49546,2.66474,-1.25904,6.75767,5.42285
19,-1.09622,-0.749327,0.725966,-0.779411,-0.525028,0.0681257,7.84573,9.9281,7.2265,4.11698
20,-1.10126,1.03616,5.41441,-5.96019,-3.02989,4.15864,2.88411,7.54329,7.92069,1.32992
21,0.411249,0.622085,5.12008,-7.71835,0.408325,0.638587,3.62965,5.75844,5.94749,6.9165
22,2.88475,-0.0499206,5.81719,-3.0912,0.510716,0.237367,4.57557,7.20536,7.36751,1.28878
23,-1.30539,0.796144,3.72151,-9.34253,-2.03485,-3.95308,9.5152,8.7054,6.39074,8.98339
24,2.0759,-1.03533,1.32864,-4.51257,-0.369787,3.92852,7.27422,6.61713,8.53597,3.2218
25,0.221534,-1.26055,4.99966,2.22244,-0.200586,2.42004,1.94102,1.32289,8.25206,3.41383
26,-0.821548,-0.651107,5.87353,1.68589,-0.928395,-2.25543,7.66633,-1.63978,10,7.60881
28,-0.0995471,0.342077,0.880662,-1.3744,0.220858,9.00846,10,7.88543,7.05863,2.37792
base,-0.116142,-0.99313,1.29674,-4.16795,-0.888624,0.784135,3.71564,4.14343,6.43803,6.0514
