real_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
dv_cand_sv:1e-05   ,-0.216507,-2.16859,0.0256501,-0.194467,-2.85484,-0.5995,4.70988,4.8229,5.16186,4.17667
dv_cand_sv:0.0001  ,-0.216519,-2.16864,0.0256583,-0.194473,-2.85488,-0.599537,4.70983,4.82286,5.16181,4.17663
dv_cand_sv:0.0005  ,-0.216569,-2.16885,0.0256949,-0.194502,-2.85507,-0.599703,4.70964,4.82265,5.16159,4.17645
dv_cand_sv:0.001   ,-0.216631,-2.16911,0.0257406,-0.194537,-2.8553,-0.599911,4.70939,4.82239,5.16132,4.17623
dv_cand_sv:0.0025  ,-0.216819,-2.1699,0.0258779,-0.194643,-2.856,-0.600533,4.70865,4.82162,5.16049,4.17556
dv_cand_sv:0.005   ,-0.217131,-2.17122,0.0261065,-0.194821,-2.85716,-0.60157,4.70743,4.82032,5.15911,4.17445
dv_cand_sv:0.01    ,-0.217756,-2.17385,0.0265639,-0.195175,-2.85948,-0.603644,4.70497,4.81773,5.15636,4.17222
dv_cand_sv:0.05    ,-0.222758,-2.19491,0.030223,-0.198007,-2.87805,-0.620237,4.68531,4.79702,5.13433,4.1544
dv_cand_sv:0.075   ,-0.225884,-2.20807,0.0325098,-0.199778,-2.88965,-0.630607,4.67302,4.78407,5.12056,4.14326
dv_cand_sv:0.1     ,-0.22901,-2.22124,0.0347967,-0.201549,-2.90126,-0.640978,4.66073,4.77112,5.1068,4.13212
dv_cand_sv:0.25    ,-0.247766,-2.30021,0.0485181,-0.212172,-2.97088,-0.703201,4.587,4.69344,5.02419,4.06528
dv_cand_sv:0.5     ,-0.279026,-2.43183,0.071387,-0.229877,-3.08693,-0.806905,4.46412,4.56397,4.88652,3.95388
dv_cand_sv:1       ,-0.341547,-2.69507,0.117125,-0.265288,-3.31903,-1.01431,4.21836,4.30504,4.61117,3.73109
dv_cand_sv:2       ,-0.466587,-3.22155,0.208601,-0.336109,-3.78322,-1.42913,3.72683,3.78717,4.06046,3.28551
dv_cand_sv:5       ,-0.841709,-4.80098,0.483028,-0.548573,-5.17579,-2.67359,2.25224,2.23355,2.40836,1.94875
dv_cand_sv:10      ,-1.46691,-7.43337,0.940407,-0.90268,-7.49675,-4.74768,-0.2054,-0.355807,-0.345147,-0.279175
