real_name,obj,g1,g2,g3,g4,g5,g6,g7,g8
dv_cand_sv:1e-05   ,102.83,-87.4325,-55.2385,2.85083,2.95871,-21.0326,-2.5086,104.908,55.0617
dv_cand_sv:0.0001  ,102.829,-87.4331,-55.2375,2.85066,2.96086,-21.033,-2.50824,104.91,55.0651
dv_cand_sv:0.0005  ,102.824,-87.4356,-55.2334,2.84989,2.97044,-21.035,-2.50662,104.919,55.0802
dv_cand_sv:0.001   ,102.817,-87.4387,-55.2283,2.84894,2.98241,-21.0374,-2.50459,104.931,55.0991
dv_cand_sv:0.0025  ,102.797,-87.4482,-55.2129,2.84606,3.01832,-21.0448,-2.49851,104.964,55.1559
dv_cand_sv:0.005   ,102.763,-87.464,-55.1872,2.84128,3.07818,-21.057,-2.48837,105.02,55.2506
dv_cand_sv:0.01    ,102.696,-87.4956,-55.1357,2.8317,3.19796,-21.0814,-2.46807,105.132,55.4401
dv_cand_sv:0.05    ,102.159,-87.7484,-54.7245,2.7551,4.15826,-21.2769,-2.30491,106.03,56.9627
dv_cand_sv:0.075   ,101.827,-87.9063,-54.4674,2.70723,4.76036,-21.399,-2.20222,106.594,57.9202
dv_cand_sv:0.1     ,101.496,-88.0643,-54.2104,2.65935,5.36392,-21.5209,-2.09898,107.159,58.8823
dv_cand_sv:0.25    ,99.5583,-89.0121,-52.6681,2.37211,9.01606,-22.2502,-1.46805,110.58,64.7503
dv_cand_sv:0.5     ,96.4993,-90.5918,-50.0977,1.89337,15.2202,-23.4571,-0.372671,116.402,74.8943
dv_cand_sv:1       ,91.0207,-93.7512,-44.9569,0.935882,28.0681,-25.8385,1.98247,128.501,96.547
dv_cand_sv:2       ,82.6215,-100.07,-34.6752,-0.979087,55.5224,-30.4713,7.35025,154.51,145.311
dv_cand_sv:5       ,77.8882,-119.027,-3.83025,-6.72399,151.954,-43.3314,28.7136,247.042,335.275
dv_cand_sv:10      ,138.214,-150.621,47.5781,-16.2988,359.567,-61.303,81.8524,449.607,797.452
