iteration,total_runs,obs_realization,par_realization,obj_fn,l_constraint
0,146,0,0,0,1305.14
0,146,1,1,0,367.849
0,146,2,2,0,2054.8
0,146,3,3,0,12014
0,146,4,4,0,208.501
0,146,5,5,0,10473.5
0,146,7,7,0,47.7587
0,146,8,8,0,18914.8
0,146,9,9,0,817.624
0,146,10,10,0,2279.68
0,146,12,12,0,1010.08
0,146,13,13,0,0
0,146,14,14,0,16762.1
0,146,15,15,0,914.069
0,146,16,16,0,9148.69
0,146,17,17,0,8302.41
0,146,18,18,0,1921.66
0,146,19,19,0,63.4726
0,146,base,base,0,229.299
1,185,0,0,0,1.88619
1,185,2,2,0,91.5811
1,185,4,4,0,87.755
1,185,5,5,0,56.2528
1,185,7,7,0,33.7299
1,185,8,8,0,57.8891
1,185,9,9,0,0
1,185,10,10,0,19.2657
1,185,12,12,0,85.244
1,185,13,13,0,4.59728
1,185,14,14,0,0
1,185,15,15,0,0
1,185,17,17,0,35.0706
1,185,18,18,0,0
1,185,19,19,0,0
1,185,base,base,0,12.7985
2,221,0,0,0,0.0427726
2,221,5,5,0,0
2,221,7,7,0,3.46885
2,221,8,8,0,0.217839
2,221,9,9,0,0
2,221,10,10,0,0.000609223
2,221,12,12,0,0
2,221,13,13,0,0.132913
2,221,14,14,0,0
2,221,17,17,0,0
2,221,18,18,0,0
2,221,19,19,0,0
2,221,base,base,0,0.426746
3,254,0,0,0,0.457465
3,254,7,7,0,0.40294
3,254,8,8,0,0
3,254,10,10,0,0.000504342
3,254,12,12,0,0.0200285
3,254,13,13,0,0
3,254,14,14,0,0
3,254,17,17,0,0
3,254,18,18,0,0
3,254,19,19,0,0
3,254,base,base,0,0.00252089
