iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,3,100,4817.73,6230.55,0.5,10,167.269,94.2374
1,4,100,4817.73,6230.55,1,10,49.8472,48.2841
1,4,100,4817.73,6230.55,0.5,100,309.258,241.789
1,4,100,4817.73,6230.55,1,100,54.6077,36.8062
1,4,100,4817.73,6230.55,0.5,1000,502.662,443.206
1,4,100,4817.73,6230.55,1,1000,180.77,130.909
2,4,7.5,34.0684,34.016,0.5,0.75,16.7339,14.711
2,4,7.5,34.0684,34.016,1,0.75,144.79,166.777
2,4,7.5,34.0684,34.016,0.5,7.5,20.4375,17.7605
2,4,7.5,34.0684,34.016,1,7.5,10.8194,11.1301
2,3,7.5,34.0684,34.016,0.5,75,17.2375,12.4512
2,3,7.5,34.0684,34.016,1,75,13.7682,14.5598
3,3,5.625,1.5158,1.29299,0.5,0.5625,0.402295,0.390178
3,3,5.625,1.5158,1.29299,1,0.5625,0.2694,0.28734
3,3,5.625,1.5158,1.29299,0.5,5.625,0.509474,0.473651
3,3,5.625,1.5158,1.29299,1,5.625,0.43179,0.432092
3,3,5.625,1.5158,1.29299,0.5,56.25,0.586989,0.520281
3,3,5.625,1.5158,1.29299,1,56.25,0.56488,0.508106
