real_name,constraint,obs
0,-1.4988734500000000516,5.4563709100000004071
1,-1.5011394499999999308,5.6784825200000001999
2,-1.495607769999999892,5.5029599400000002163
3,-1.4936794300000000302,5.263410549999999688
4,-1.4989242599999998973,5.4714478900000003136
5,-1.4941068699999999758,5.2880704400000002607
6,-1.5019494200000000905,5.6112199399999997951
7,-1.5030594200000000349,5.6612468800000002034
8,-1.4901356199999999941,5.1081379599999996444
9,-1.5081851500000000854,6.2794259600000001953
10,-1.4929789600000000771,5.5303089600000001624
11,-1.5029128800000000066,5.6575137800000003807
12,-1.4939252599999999216,5.2688312200000000374
13,-1.5076470600000000388,5.872970729999999584
14,-1.49448325999999998,5.2605156900000000775
15,-1.4987988100000000369,5.579638690000000345
16,-1.5028003800000000467,5.6692779299999997988
17,-1.4925720700000000285,5.2826334399999996805
18,-1.5066566900000000206,5.825335599999999836
19,-1.5002539599999999975,5.604504829999999771
base,-1.5005000600000000244,5.5382102399999997289
