real_name,constraint,obs
0,-1.4938499599999999212,5.2283543200000002216
1,-1.4893710200000001009,5.0260467699999997748
2,-1.5565431599999999257,8.8618099400000005517
3,-1.5141492199999999624,6.2060139999999996974
4,-1.5001654099999999215,5.5309581500000000176
5,-1.5107409199999999316,6.5181630899999998263
6,-1.5053077200000000158,5.864477130000000038
7,-1.5002826600000001012,5.5545168699999996065
8,-1.4767983700000000269,4.4926385399999997361
9,-1.5288444599999999607,7.2415157499999995849
10,-1.5194724100000001066,6.6453384800000003807
11,-1.5007371000000000461,5.5885533199999999354
12,-1.4806842600000000854,4.6782630699999998569
13,-1.4982132699999999303,5.4687584500000001597
14,-1.479460870000000039,4.6374884500000002063
15,-1.5197179300000001057,6.6334769500000003717
16,-1.5074887800000000837,5.8690109299999999593
17,-1.4995597599999999083,5.515387569999999684
18,-1.5148079299999999137,6.2352779199999996962
19,-1.5129211199999998971,6.2777163399999995619
base,-1.5001346600000000642,5.5182646100000001255
