real_name,par1,par2
dv_cand_sv:1e-05   ,0.103059,-1.61409
dv_cand_sv:0.0001  ,0.10305,-1.614
dv_cand_sv:0.0005  ,0.103011,-1.6136
dv_cand_sv:0.001   ,0.102962,-1.61311
dv_cand_sv:0.0025  ,0.102815,-1.61161
dv_cand_sv:0.005   ,0.102571,-1.60913
dv_cand_sv:0.01    ,0.102082,-1.60415
dv_cand_sv:0.05    ,0.0981728,-1.56434
dv_cand_sv:0.075   ,0.0957294,-1.53946
dv_cand_sv:0.1     ,0.093286,-1.51458
dv_cand_sv:0.25    ,0.0786255,-1.3653
dv_cand_sv:0.5     ,0.0541913,-1.1165
dv_cand_sv:0.75    ,0.0297571,-0.867693
dv_cand_sv:1       ,0.00532294,-0.61889
dv_cand_sv:3       ,-0.190151,1.37153
dv_cand_sv:5       ,-0.385624,2.2
