real_name,constraint,obs
dv_cand_sv:1e-05   ,-1.84597,264.774
dv_cand_sv:0.0005  ,-1.84538,264.612
dv_cand_sv:0.001   ,-1.84477,264.448
dv_cand_sv:0.0025  ,-1.84295,263.954
dv_cand_sv:0.005   ,-1.83991,263.131
dv_cand_sv:0.01    ,-1.83384,261.49
dv_cand_sv:0.05    ,-1.78523,248.555
dv_cand_sv:0.075   ,-1.75485,240.642
dv_cand_sv:0.1     ,-1.72447,232.861
dv_cand_sv:0.25    ,-1.54221,188.945
dv_cand_sv:0.5     ,-1.23843,126.208
dv_cand_sv:0.75    ,-0.934647,76.3843
dv_cand_sv:1       ,-0.630867,39.2954
dv_cand_sv:3       ,1.79937,179.74
dv_cand_sv:5       ,3.06765,422.701
