real_name,constraint,obs
gen=0_member=0,3.82635,448.173
gen=0_member=1,4.069,3236.37
gen=0_member=2,0.64416,830.13
gen=0_member=3,1.39719,221.18
gen=0_member=4,4.72435,258.208
gen=0_member=5,-3.66269,581.7
gen=0_member=6,-2.92209,289.021
gen=0_member=7,-0.179679,102.417
gen=0_member=8,3.7516,74.2396
gen=0_member=9,-3.53443,1096.4
gen=0_member=10,-4.08751,818.857
gen=0_member=11,1.51787,6.06691
gen=0_member=12,-0.345383,343.579
gen=0_member=13,5.31666,1643.06
gen=0_member=14,-4.56716,1448.91
gen=0_member=15,0.965144,9.08572
gen=0_member=16,5.45917,1771.97
gen=0_member=17,2.89081,3429.7
gen=0_member=18,0.521691,38.4364
gen=0_member=19,-0.324403,17.7876
gen=0_member=20,1.92369,199.416
gen=0_member=21,3.99841,518.417
gen=0_member=22,5.12279,197.257
gen=0_member=23,3.11425,3943.18
gen=0_member=24,0.118341,361.099
gen=0_member=25,-0.325412,21.6472
gen=0_member=26,0.827852,979.693
gen=0_member=27,-3.16065,403.54
gen=0_member=28,-2.71222,348.431
gen=0_member=29,0.232101,66.1076
gen=0_member=30,3.63696,1898.81
gen=0_member=31,0.51209,152.822
gen=0_member=32,1.08236,728.518
gen=0_member=33,5.41287,30.5065
gen=0_member=34,0.597787,4.16157
gen=0_member=35,-0.114011,86.9768
gen=0_member=36,-0.0754631,2.27791
gen=0_member=37,2.14944,1844.26
gen=0_member=38,5.33979,225.344
gen=0_member=39,-0.0954777,5.40635
gen=0_member=40,1.09107,226.852
gen=0_member=41,5.07863,7.50169
gen=0_member=42,-4.82262,1323.55
gen=0_member=43,-0.42534,67.4865
gen=0_member=44,2.85979,236.791
gen=0_member=45,1.4262,240.278
gen=0_member=46,0.378616,116.581
gen=0_member=47,3.94991,57.7522
gen=0_member=48,2.73792,18.1731
gen=0_member=49,-0.952695,59.9772
gen=0_member=50,0.0496336,18.5133
gen=0_member=51,-2.66752,273.767
gen=0_member=52,4.14093,1429.43
gen=0_member=53,-5.38405,2292.64
gen=0_member=54,-4.0558,781.099
gen=0_member=55,3.82147,1873.76
gen=0_member=56,3.00488,12.8023
gen=0_member=57,-3.37734,476.294
gen=0_member=58,-2.54737,168.615
gen=0_member=59,-1.77373,25.8903
gen=0_member=60,-3.98736,779.315
gen=0_member=61,2.38837,81.1879
gen=0_member=62,5.44618,172.622
gen=0_member=63,1.01403,239.119
gen=0_member=64,3.02775,53.5231
gen=0_member=65,-4.33784,946.6
gen=0_member=66,-1.25615,2.07701
gen=0_member=67,-2.1023,204.198
gen=0_member=68,2.00306,6.7808
gen=0_member=69,-3.99661,1274.75
gen=0_member=70,4.76276,22.997
gen=0_member=71,2.11567,1580.64
gen=0_member=72,1.06201,240.681
gen=0_member=73,4.58426,1074.32
gen=0_member=74,-6.02194,3465.13
gen=0_member=75,-3.43355,478.694
gen=0_member=76,-2.24252,102.414
gen=0_member=77,1.05336,34.868
gen=0_member=78,0.206121,4.7992
gen=0_member=79,-0.317076,761.374
gen=0_member=80,-2.19826,197.023
gen=0_member=81,3.1353,299.748
gen=0_member=82,1.42669,141.816
gen=0_member=83,-3.0162,688.9
gen=0_member=84,-0.82942,9.85629
gen=0_member=85,-2.91677,406.155
gen=0_member=86,-2.54516,315.013
gen=0_member=87,5.85849,404.147
gen=0_member=88,1.73052,1991.65
gen=0_member=89,1.09671,476.265
gen=0_member=90,3.44856,288.9
gen=0_member=91,-4.23693,1446.37
gen=0_member=92,4.82235,330.831
gen=0_member=93,1.6561,319.922
gen=0_member=94,4.54445,41.2746
gen=0_member=95,4.56688,17.1109
gen=0_member=96,0.900588,899.294
gen=0_member=97,3.99068,55.3132
gen=0_member=98,1.9525,149.087
gen=0_member=99,4.66597,1204.65
