real_name,constraint,obs
0,1.12658,268.158
1,-0.595115,15.0316
2,2.27674,211.502
3,1.39282,231.203
4,-1.05035,306.944
5,-0.179548,73.4816
6,-0.699236,409.95
7,-0.631382,299.093
8,-0.707266,16.4617
9,-0.807703,217.877
10,-2.35346,291.77
11,2.97966,172.277
12,-0.176605,272.476
13,1.47739,2.53832
14,-1.02587,29.8392
15,1.95189,108.009
16,0.283435,3.5955
17,3.75979,162.474
18,0.117452,162.554
19,1.94209,20.9937
20,0.437926,281.436
21,2.16396,74.2978
22,-3.66038,574.461
23,-1.26544,0.130695
24,-1.50945,46.9027
25,-2.12928,418.671
26,-0.958108,301.947
27,-0.924485,150.456
28,-0.652644,16.5337
base,1.29679,258.33
