real_name,par1,par2
0,-1.1684,-0.0521592
1,0.0408326,-0.205863
2,-1.33566,0.41986
3,-1.16292,0.0161686
4,-0.599518,-0.773584
5,-0.343087,-0.564086
6,-0.918356,-0.582953
7,-0.734332,-0.660684
8,0.130289,-0.326431
9,-0.494034,-0.760623
10,0.0327877,-0.746363
11,-1.4136,0.730841
12,-0.825367,-0.544486
13,-0.584588,0.367522
14,0.168701,-0.287847
15,-0.467858,1.46865
16,-0.227419,0.0137929
17,-1.55801,1.14325
18,-0.674996,-0.534454
19,-0.801835,0.244906
20,-1.01119,-0.328867
21,-1.03852,0.314899
22,0.485968,0.413375
23,0.935384,0.842913
24,0.412958,-0.331513
25,-0.399547,-0.829348
26,-0.621477,-0.760825
27,-0.300217,-0.72669
28,0.0573658,-0.214376
29,-0.711603,-0.744936
30,-1.27739,0.372149
31,-0.192394,1.67666
32,0.0612967,-0.596616
33,-1.16299,0.929709
34,-0.335912,-0.745238
35,0.0534145,-0.595466
36,-0.696512,-0.521914
37,-0.392543,0.0807008
38,-0.00772145,0.723937
39,-0.901694,-0.616448
40,-1.16627,0.392426
41,-0.858792,-0.373899
42,-0.712766,0.258183
43,-1.2947,1.03811
44,-1.02506,-0.15348
45,-0.830338,-0.594404
46,0.367796,-0.368075
47,0.444129,2.031
48,-0.673841,-0.579926
base,-1.1925,0.00983989
