child,parent_1,parent_2,parent_3
GEN=1_MEMBER=101_PSO,GEN=0_MEMBER=66,,
GEN=1_MEMBER=103_PSO,GEN=0_MEMBER=36,,
GEN=1_MEMBER=105_PSO,GEN=0_MEMBER=34,,
GEN=1_MEMBER=107_PSO,GEN=0_MEMBER=78,,
GEN=1_MEMBER=109_PSO,GEN=0_MEMBER=39,,
GEN=1_MEMBER=111_PSO,GEN=0_MEMBER=11,,
GEN=1_MEMBER=113_PSO,GEN=0_MEMBER=15,,
GEN=1_MEMBER=115_PSO,GEN=0_MEMBER=84,,
GEN=1_MEMBER=117_PSO,GEN=0_MEMBER=19,,
GEN=1_MEMBER=119_PSO,GEN=0_MEMBER=50,,
GEN=1_MEMBER=121_PSO,GEN=0_MEMBER=25,,
GEN=1_MEMBER=123_PSO,GEN=0_MEMBER=59,,
GEN=1_MEMBER=125_PSO,GEN=0_MEMBER=77,,
GEN=1_MEMBER=127_PSO,GEN=0_MEMBER=18,,
GEN=1_MEMBER=129_PSO,GEN=0_MEMBER=49,,
GEN=1_MEMBER=131_PSO,GEN=0_MEMBER=29,,
GEN=1_MEMBER=133_PSO,GEN=0_MEMBER=43,,
GEN=1_MEMBER=135_PSO,GEN=0_MEMBER=35,,
GEN=1_MEMBER=137_PSO,GEN=0_MEMBER=76,,
GEN=1_MEMBER=139_PSO,GEN=0_MEMBER=7,,
GEN=1_MEMBER=141_PSO,GEN=0_MEMBER=46,,
GEN=1_MEMBER=143_PSO,GEN=0_MEMBER=82,,
GEN=1_MEMBER=145_PSO,GEN=0_MEMBER=98,,
GEN=1_MEMBER=147_PSO,GEN=0_MEMBER=31,,
GEN=1_MEMBER=149_PSO,GEN=0_MEMBER=58,,
GEN=1_MEMBER=151_PSO,GEN=0_MEMBER=80,,
GEN=1_MEMBER=153_PSO,GEN=0_MEMBER=20,,
GEN=1_MEMBER=155_PSO,GEN=0_MEMBER=67,,
GEN=1_MEMBER=157_PSO,GEN=0_MEMBER=3,,
GEN=1_MEMBER=159_PSO,GEN=0_MEMBER=40,,
GEN=1_MEMBER=161_PSO,GEN=0_MEMBER=63,,
GEN=1_MEMBER=163_PSO,GEN=0_MEMBER=45,,
GEN=1_MEMBER=165_PSO,GEN=0_MEMBER=72,,
GEN=1_MEMBER=167_PSO,GEN=0_MEMBER=51,,
GEN=1_MEMBER=169_PSO,GEN=0_MEMBER=6,,
GEN=1_MEMBER=171_PSO,GEN=0_MEMBER=86,,
GEN=1_MEMBER=173_PSO,GEN=0_MEMBER=93,,
GEN=1_MEMBER=175_PSO,GEN=0_MEMBER=12,,
GEN=1_MEMBER=177_PSO,GEN=0_MEMBER=28,,
GEN=1_MEMBER=179_PSO,GEN=0_MEMBER=24,,
GEN=1_MEMBER=181_PSO,GEN=0_MEMBER=27,,
GEN=1_MEMBER=183_PSO,GEN=0_MEMBER=85,,
GEN=1_MEMBER=185_PSO,GEN=0_MEMBER=89,,
GEN=1_MEMBER=187_PSO,GEN=0_MEMBER=57,,
GEN=1_MEMBER=189_PSO,GEN=0_MEMBER=75,,
GEN=1_MEMBER=191_PSO,GEN=0_MEMBER=5,,
GEN=1_MEMBER=193_PSO,GEN=0_MEMBER=83,,
GEN=1_MEMBER=195_PSO,GEN=0_MEMBER=32,,
GEN=1_MEMBER=197_PSO,GEN=0_MEMBER=79,,
GEN=1_MEMBER=199_PSO,GEN=0_MEMBER=60,,
GEN=1_MEMBER=201_PSO,GEN=0_MEMBER=54,,
GEN=1_MEMBER=203_PSO,GEN=0_MEMBER=10,,
GEN=1_MEMBER=205_PSO,GEN=0_MEMBER=2,,
GEN=1_MEMBER=207_PSO,GEN=0_MEMBER=96,,
GEN=1_MEMBER=209_PSO,GEN=0_MEMBER=65,,
GEN=1_MEMBER=211_PSO,GEN=0_MEMBER=26,,
GEN=1_MEMBER=213_PSO,GEN=0_MEMBER=9,,
GEN=1_MEMBER=215_PSO,GEN=0_MEMBER=69,,
GEN=1_MEMBER=217_PSO,GEN=0_MEMBER=42,,
GEN=1_MEMBER=219_PSO,GEN=0_MEMBER=91,,
GEN=1_MEMBER=221_PSO,GEN=0_MEMBER=14,,
GEN=1_MEMBER=223_PSO,GEN=0_MEMBER=88,,
GEN=1_MEMBER=225_PSO,GEN=0_MEMBER=53,,
GEN=1_MEMBER=227_PSO,GEN=0_MEMBER=74,,
GEN=1_MEMBER=229_PSO,GEN=0_MEMBER=68,,
GEN=1_MEMBER=231_PSO,GEN=0_MEMBER=71,,
GEN=1_MEMBER=233_PSO,GEN=0_MEMBER=37,,
GEN=1_MEMBER=235_PSO,GEN=0_MEMBER=61,,
GEN=1_MEMBER=237_PSO,GEN=0_MEMBER=48,,
GEN=1_MEMBER=239_PSO,GEN=0_MEMBER=44,,
GEN=1_MEMBER=241_PSO,GEN=0_MEMBER=17,,
GEN=1_MEMBER=243_PSO,GEN=0_MEMBER=56,,
GEN=1_MEMBER=245_PSO,GEN=0_MEMBER=64,,
GEN=1_MEMBER=247_PSO,GEN=0_MEMBER=23,,
GEN=1_MEMBER=249_PSO,GEN=0_MEMBER=81,,
GEN=1_MEMBER=251_PSO,GEN=0_MEMBER=90,,
GEN=1_MEMBER=253_PSO,GEN=0_MEMBER=30,,
GEN=1_MEMBER=255_PSO,GEN=0_MEMBER=8,,
GEN=1_MEMBER=257_PSO,GEN=0_MEMBER=55,,
GEN=1_MEMBER=259_PSO,GEN=0_MEMBER=0,,
GEN=1_MEMBER=261_PSO,GEN=0_MEMBER=47,,
GEN=1_MEMBER=263_PSO,GEN=0_MEMBER=97,,
GEN=1_MEMBER=265_PSO,GEN=0_MEMBER=21,,
GEN=1_MEMBER=267_PSO,GEN=0_MEMBER=1,,
GEN=1_MEMBER=269_PSO,GEN=0_MEMBER=52,,
GEN=1_MEMBER=271_PSO,GEN=0_MEMBER=94,,
GEN=1_MEMBER=273_PSO,GEN=0_MEMBER=95,,
GEN=1_MEMBER=275_PSO,GEN=0_MEMBER=73,,
GEN=1_MEMBER=277_PSO,GEN=0_MEMBER=99,,
GEN=1_MEMBER=279_PSO,GEN=0_MEMBER=4,,
GEN=1_MEMBER=281_PSO,GEN=0_MEMBER=70,,
GEN=1_MEMBER=283_PSO,GEN=0_MEMBER=92,,
GEN=1_MEMBER=285_PSO,GEN=0_MEMBER=41,,
GEN=1_MEMBER=287_PSO,GEN=0_MEMBER=22,,
GEN=1_MEMBER=289_PSO,GEN=0_MEMBER=13,,
GEN=1_MEMBER=291_PSO,GEN=0_MEMBER=38,,
GEN=1_MEMBER=293_PSO,GEN=0_MEMBER=33,,
GEN=1_MEMBER=295_PSO,GEN=0_MEMBER=62,,
GEN=1_MEMBER=297_PSO,GEN=0_MEMBER=16,,
GEN=1_MEMBER=299_PSO,GEN=0_MEMBER=87,,
