generation,member,obs,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=66,2.07701,1,-999,0.5,0.5,1,-999
1,gen=0_member=66,2.07701,2,-999,0.313429,0.313429,1,-999
1,gen=1_member=133_pso,0.8865,1,-999,1.31343,1.31343,1,-999
2,gen=1_member=133_pso,0.8865,2,-999,0.377635,0.377635,1,-999
2,gen=2_member=479_pso,0.238439,1,-999,1.37763,1.37763,1,-999
5,gen=2_member=479_pso,0.238439,2,-999,0.49946,0.49946,1,-999
5,gen=5_member=941_pso,0.236278,1,-999,1.49946,1.49946,1,-999
6,gen=5_member=941_pso,0.236278,2,-999,0.499461,0.499461,1,-999
6,gen=6_member=1261_pso,0.234119,1,-999,1.49946,1.49946,1,-999
12,gen=6_member=1261_pso,0.234119,2,-999,0.499794,0.499794,1,-999
12,gen=12_member=2449_pso,0.233296,1,-999,1.49979,1.49979,1,-999
13,gen=12_member=2449_pso,0.233296,2,-999,0.499991,0.499991,1,-999
13,gen=13_member=2595_pso,0.233259,1,-999,1.49999,1.49999,1,-999
17,gen=13_member=2595_pso,0.233259,2,-999,0.499999,0.499999,1,-999
17,gen=17_member=3429_pso,0.233256,1,-999,1.5,1.5,1,-999
19,gen=17_member=3429_pso,0.233256,2,-999,0.5,0.5,1,-999
19,gen=19_member=3889_pso,0.233256,1,-999,1.5,1.5,1,-999
20,gen=19_member=3889_pso,0.233256,2,-999,0.5,0.5,1,-999
20,gen=20_member=4065_pso,0.233256,1,-999,1.5,1.5,1,-999
22,gen=20_member=4065_pso,0.233256,2,-999,0.5,0.5,1,-999
22,gen=22_member=4455_pso,0.233255,1,-999,1.5,1.5,1,-999
31,gen=31_member=6215_pso,0.233255,1,-999,0.5,0.5,1,-999
33,gen=33_member=6583_pso,0.233255,1,-999,0.5,0.5,1,-999
38,gen=38_member=7627_pso,0.233255,1,-999,0.5,0.5,1,-999
39,gen=39_member=7841_pso,0.233255,1,-999,0.5,0.5,1,-999
40,gen=40_member=8049_pso,0.233255,1,-999,0.5,0.5,1,-999
41,gen=41_member=8263_pso,0.233255,1,-999,0.5,0.5,1,-999
42,gen=42_member=8481_pso,0.233255,1,-999,0.5,0.5,1,-999
43,gen=43_member=8655_pso,0.233255,1,-999,0.5,0.5,1,-999
44,gen=44_member=8841_pso,0.233255,1,-999,0.5,0.5,1,-999
45,gen=45_member=9087_pso,0.233255,1,-999,0.5,0.5,1,-999
46,gen=46_member=9297_pso,0.233255,1,-999,0.5,0.5,1,-999
47,gen=47_member=9465_pso,0.233255,1,-999,0.5,0.5,1,-999
48,gen=48_member=9683_pso,0.233255,1,-999,0.5,0.5,1,-999
49,gen=49_member=9883_pso,0.233255,1,-999,0.5,0.5,1,-999
50,gen=50_member=9981_pso,0.233255,1,-999,0.5,0.5,1,-999
51,gen=51_member=10239_pso,0.233255,1,-999,0.5,0.5,1,-999
52,gen=52_member=10487_pso,0.233255,1,-999,0.5,0.5,1,-999
53,gen=53_member=10663_pso,0.233255,1,-999,0.5,0.5,1,-999
54,gen=54_member=10827_pso,0.233255,1,-999,0.5,0.5,1,-999
55,gen=55_member=11059_pso,0.233255,1,-999,0.5,0.5,1,-999
56,gen=56_member=11243_pso,0.233255,1,-999,0.5,0.5,1,-999
