iteration,total_runs,obs_realization,par_realization,l_constraint,l_obj
0,30,0,0,0,649015
0,30,1,1,1.60314,1.82013e+07
0,30,2,2,0.781797,450157
0,30,3,3,0,256922
0,30,4,4,0,181468
0,30,5,5,0,6810.18
0,30,6,6,0,1.79835e+06
0,30,7,7,0,4.36334e+06
0,30,8,8,0,278.285
0,30,9,9,0,76478.5
0,30,10,10,0,87025.8
0,30,11,11,1.83625,171708
0,30,12,12,0,3.55726e+06
0,30,13,13,5.09594,9.43219e+06
0,30,14,14,1.14531,2.04831e+07
0,30,15,15,0.00140815,8951.31
0,30,16,16,2.80911,1.40497e+07
0,30,17,17,5.19375,328244
0,30,18,18,0,47139.9
0,30,19,19,0,547.492
0,30,20,20,0,321491
0,30,21,21,3.39483,3.43796e+06
0,30,22,22,0,187401
0,30,23,23,0,0.0169145
0,30,24,24,0,2100.34
0,30,25,25,0,260619
0,30,26,26,0,180508
0,30,27,27,0,1.03706e+07
0,30,28,28,1.53709,1.84965e+07
0,30,base,base,0,603806
