real_name,x1,x2
gen=0_member=0,-1.55707,0.32295
gen=0_member=1,-2.19382,-0.867091
gen=0_member=2,-1.06214,-1.74566
gen=0_member=3,0.0393172,1.48565
gen=0_member=4,-1.62732,1.06289
gen=0_member=5,1.24606,-0.859063
gen=0_member=6,1.33302,0.077195
gen=0_member=7,0.8529,1.73935
gen=0_member=8,-0.918829,1.68423
gen=0_member=9,2.14501,1.29184
gen=0_member=10,0.925824,-2.00441
gen=0_member=11,-0.483373,0.430284
gen=0_member=12,-0.53856,-1.55714
gen=0_member=13,-2.13439,0.514284
gen=0_member=14,1.83493,-0.438556
gen=0_member=15,-0.274142,0.348325
gen=0_member=16,-2.17988,0.554437
gen=0_member=17,-2.03805,-1.69481
gen=0_member=18,-0.421214,-0.42604
gen=0_member=19,0.401301,0.578525
gen=0_member=20,-0.21005,1.45108
gen=0_member=21,-1.61832,0.357187
gen=0_member=22,-1.66201,1.38326
gen=0_member=23,-2.13866,-1.69774
gen=0_member=24,-0.685176,-1.42331
gen=0_member=25,-0.0554026,-0.450068
gen=0_member=26,-1.15886,-1.77959
gen=0_member=27,0.787815,-1.38807
gen=0_member=28,1.77187,1.27447
gen=0_member=29,0.295714,0.897456
gen=0_member=30,-1.91644,-0.675028
gen=0_member=31,0.388101,1.38532
gen=0_member=32,-1.11972,-1.437
gen=0_member=33,-1.55237,1.92004
gen=0_member=34,-0.296586,-0.0695308
gen=0_member=35,-0.315452,-0.823779
gen=0_member=36,-0.0159536,-0.111359
gen=0_member=37,-1.65013,-1.56336
gen=0_member=38,-1.71784,1.47465
gen=0_member=39,0.148379,0.238374
gen=0_member=40,-0.83755,-0.793418
gen=0_member=41,-1.41915,1.88555
gen=0_member=42,1.40931,-1.65167
gen=0_member=43,0.987944,1.79753
gen=0_member=44,-0.485528,1.76735
gen=0_member=45,0.0551333,1.55025
gen=0_member=46,0.372445,1.21662
gen=0_member=47,-1.3121,0.997682
gen=0_member=48,-0.968248,0.559362
gen=0_member=49,0.0848304,-0.761827
gen=0_member=50,0.180081,0.454816
gen=0_member=51,0.622736,-1.26636
gen=0_member=52,-1.90422,-0.143564
gen=0_member=53,1.9428,-1.01274
gen=0_member=54,1.0569,-1.67776
gen=0_member=55,-1.94188,-0.547766
gen=0_member=56,-1.01191,0.72808
gen=0_member=57,1.39024,-0.249295
gen=0_member=58,0.995503,-0.30749
gen=0_member=59,1.10006,0.701396
gen=0_member=60,0.860705,-2.05077
gen=0_member=61,-1.00396,0.129462
gen=0_member=62,-1.70299,1.61444
gen=0_member=63,-0.828244,-0.849514
gen=0_member=64,-0.768005,1.29974
gen=0_member=65,1.19141,-1.65717
gen=0_member=66,1.50506,2.13024
gen=0_member=67,1.8928,2.15649
gen=0_member=68,-0.625792,0.595026
gen=0_member=69,2.04035,0.594177
gen=0_member=70,-1.24238,1.9674
gen=0_member=71,-1.58583,-1.45245
gen=0_member=72,-0.841736,-0.831899
gen=0_member=73,-1.89407,0.322611
gen=0_member=74,2.18756,-1.09994
gen=0_member=75,1.26578,-0.585537
gen=0_member=76,1.31108,0.707415
gen=0_member=77,-0.574442,-0.239131
gen=0_member=78,-0.00508524,0.19468
gen=0_member=79,-0.799053,-2.11494
gen=0_member=80,1.8096,1.87334
gen=0_member=81,-0.510912,1.98575
gen=0_member=82,-0.84194,-0.467673
gen=0_member=83,2.0588,1.61609
gen=0_member=84,0.774186,0.912497
gen=0_member=85,1.72738,0.969838
gen=0_member=86,0.421879,-1.59594
gen=0_member=87,-1.89386,1.59731
gen=0_member=88,-1.60471,-1.88008
gen=0_member=89,-1.00466,-1.16378
gen=0_member=90,-0.613435,2.06833
gen=0_member=91,2.03626,0.344643
gen=0_member=92,-1.68337,1.03477
gen=0_member=93,-1.04264,-0.689838
gen=0_member=94,-1.15642,1.94249
gen=0_member=95,-1.21663,1.82945
gen=0_member=96,-1.14598,-1.67787
gen=0_member=97,-1.31693,1.02759
gen=0_member=98,-0.29061,1.29863
gen=0_member=99,-1.9393,0.302544
