real_name,obj,constraint
gen=10_member=1000_pso,1.42053,-1.37628
gen=10_member=1001_pso,0.868778,-1.13966
gen=10_member=1002_pso,0.414129,-1.18375
gen=10_member=1003_pso,19.8672,-1.5267
gen=10_member=1004_pso,33.1635,-1.8245
gen=10_member=1005_pso,0.210609,-1.19242
gen=10_member=1006_pso,0.0411573,-1.23437
gen=10_member=1007_pso,0.674228,-1.14427
gen=10_member=1008_pso,10.7666,-1.59328
gen=10_member=1009_pso,96.0862,-2.08498
gen=10_member=1010_pso,0.109131,-1.0583
gen=10_member=1011_pso,0.567892,-1.32167
gen=10_member=1012_pso,3.17316,-1.37844
gen=10_member=1013_pso,7.4437,-0.987874
gen=10_member=1014_pso,1.54462,-1.37763
gen=10_member=1015_pso,8.04448,-1.45433
gen=10_member=1016_pso,1.55019,-1.13576
gen=10_member=1017_pso,93.1247,-2.15656
gen=10_member=1018_pso,16.8223,-1.55867
gen=10_member=1019_pso,1.00343,-1.30075
gen=10_member=1020_pso,0.935838,-1.14865
gen=10_member=1021_pso,959.074,-3.39086
gen=10_member=1022_pso,3.33856,-1.44503
gen=10_member=1023_pso,12.2123,-0.820501
gen=10_member=1024_pso,0.195646,-0.946251
gen=10_member=1025_pso,22.8869,-1.55533
gen=10_member=1026_pso,8.37585,-1.55327
gen=10_member=1027_pso,0.0871481,-1.27851
gen=10_member=1028_pso,21.1095,-0.714271
gen=10_member=1029_pso,8.54569,0.0721923
gen=10_member=1030_pso,184.69,0.324312
gen=10_member=1031_pso,5.25522,-1.49435
gen=10_member=1032_pso,0.152734,-1.28875
gen=10_member=1033_pso,6.88956,-1.52185
gen=10_member=1034_pso,1.11409,-1.08261
gen=10_member=1035_pso,16.304,-1.66284
gen=10_member=1036_pso,2.95596,-1.09402
gen=10_member=1037_pso,3.24652,-1.42709
gen=10_member=1038_pso,3.5764,-1.45236
gen=10_member=1039_pso,110.002,-2.26509
gen=10_member=1040_pso,4.6187,-1.47991
gen=10_member=1041_pso,1466.68,-4.42381
gen=10_member=1042_pso,896.081,-3.8381
gen=10_member=1043_pso,295.418,-2.55487
gen=10_member=1044_pso,1.74258,-1.39169
gen=10_member=1045_pso,11.6925,-0.725079
gen=10_member=1046_pso,24.9972,-0.448159
gen=10_member=1047_pso,93.8215,-2.22349
gen=10_member=1048_pso,6.23733,-0.745674
gen=10_member=1049_pso,0.568324,-1.3297
gen=10_member=1050_pso,64.9066,-0.295044
gen=10_member=1051_pso,0.601835,-1.33286
gen=10_member=1052_pso,24.7346,-1.68771
gen=10_member=1053_pso,8.69305,-0.962411
gen=10_member=1054_pso,1.88387,-1.39482
gen=10_member=1055_pso,137.549,0.271078
gen=10_member=1056_pso,187.539,-2.43652
gen=10_member=1057_pso,0.407278,-1.13647
gen=10_member=1058_pso,7.47209,-1.50892
gen=10_member=1059_pso,785.271,-3.62023
gen=10_member=1060_pso,0.359252,-1.32047
gen=10_member=1061_pso,0.932565,-1.14564
gen=10_member=1062_pso,50.3921,-0.333353
gen=10_member=1063_pso,5.15966,-0.908755
gen=10_member=1064_pso,3.55995,-1.45202
gen=10_member=1065_pso,30.7788,-0.420927
gen=10_member=1066_pso,130.258,0.515665
gen=10_member=1067_pso,30.2396,-0.373569
gen=10_member=1068_pso,17.6995,-1.62881
gen=10_member=1069_pso,34.3452,-0.451772
gen=10_member=1070_pso,10.5014,-0.915873
gen=10_member=1071_pso,152.413,-2.40401
gen=10_member=1072_pso,7.75157,-0.913725
gen=10_member=1073_pso,24.4588,-0.711509
gen=10_member=1074_pso,4.59779,-1.47675
gen=10_member=1075_pso,24.063,-0.557979
gen=10_member=1076_pso,0.127948,-1.22754
gen=10_member=1077_pso,13.1178,-1.62728
gen=10_member=1078_pso,64.7384,-0.190173
gen=10_member=1079_pso,14.277,-0.342157
gen=10_member=1080_pso,0.684652,-1.17481
gen=10_member=1081_pso,1.64962,-1.10852
gen=10_member=1082_pso,14.0173,-1.60201
gen=10_member=1083_pso,487.455,-2.84049
gen=10_member=1084_pso,3.80113,-1.45157
gen=10_member=1085_pso,0.421409,-1.20085
gen=10_member=1086_pso,0.0974464,-1.25363
gen=10_member=1087_pso,5.16134,-0.935006
gen=10_member=1088_pso,0.111624,-1.19451
gen=10_member=1089_pso,7.90001,-0.89491
gen=10_member=1090_pso,2.47189,-1.07606
gen=10_member=1091_pso,4.89606,0.188846
gen=10_member=1092_pso,35.6867,-0.662519
gen=10_member=1093_pso,4.45265,-0.712589
gen=10_member=1094_pso,0.372015,-1.16736
gen=10_member=1095_pso,3.70082,-1.45425
gen=10_member=1096_pso,0.832729,-0.826392
gen=10_member=1097_pso,185.6,-2.59841
gen=10_member=1098_pso,21.1678,-0.604427
gen=10_member=1099_pso,2.0492,-0.972076
