real_name,x1,x2
gen=23_member=2300_pso,1.00943,1.01449
gen=23_member=2301_pso,1.00535,1.02252
gen=23_member=2302_pso,0.994429,0.992194
gen=23_member=2303_pso,0.994297,0.975741
gen=23_member=2304_pso,0.990688,0.977365
gen=23_member=2305_pso,0.994816,0.98724
gen=23_member=2306_pso,1.01323,1.00373
gen=23_member=2307_pso,1.00262,1.01704
gen=23_member=2308_pso,0.989686,0.997553
gen=23_member=2309_pso,0.981263,0.970757
gen=23_member=2310_pso,0.992982,0.98969
gen=23_member=2311_pso,0.996174,0.98269
gen=23_member=2312_pso,0.999672,1.00669
gen=23_member=2313_pso,1.00183,1.02422
gen=23_member=2314_pso,1.00298,1.02142
gen=23_member=2315_pso,1.00684,1.0267
gen=23_member=2316_pso,1.00412,0.978213
gen=23_member=2317_pso,0.985748,0.969693
gen=23_member=2318_pso,1.01491,1.00128
gen=23_member=2319_pso,0.99798,0.989876
gen=23_member=2320_pso,0.989716,0.987683
gen=23_member=2321_pso,0.984389,0.971304
gen=23_member=2322_pso,1.0059,1.043
gen=23_member=2323_pso,0.995315,1.0015
gen=23_member=2324_pso,0.997207,0.995503
gen=23_member=2325_pso,1.01006,1.02145
gen=23_member=2326_pso,0.998909,0.991319
gen=23_member=2327_pso,0.986933,1.04891
gen=23_member=2328_pso,1.01288,1.04067
gen=23_member=2329_pso,1.00994,1.00157
gen=23_member=2330_pso,1.00146,1.00103
gen=23_member=2331_pso,0.999675,1.02548
gen=23_member=2332_pso,1.00732,1.04877
gen=23_member=2333_pso,0.99985,1.03013
gen=23_member=2334_pso,0.983968,0.966003
gen=23_member=2335_pso,0.999944,0.989445
gen=23_member=2336_pso,1.00359,1.02192
gen=23_member=2337_pso,0.993176,1.01434
gen=23_member=2338_pso,1.03613,1.03354
gen=23_member=2339_pso,0.993021,1.04237
gen=23_member=2340_pso,1.01544,1.00431
gen=23_member=2341_pso,1.00843,0.978779
gen=23_member=2342_pso,1.00013,1.01267
gen=23_member=2343_pso,1.0107,1.01233
gen=23_member=2344_pso,0.994122,1.0003
gen=23_member=2345_pso,1.01719,0.995633
gen=23_member=2346_pso,0.98815,1.03772
gen=23_member=2347_pso,1.00264,1.01773
gen=23_member=2348_pso,0.995441,0.997397
gen=23_member=2349_pso,1.06879,1.12217
gen=23_member=2350_pso,0.999684,1.00516
gen=23_member=2351_pso,1.00312,1.00734
gen=23_member=2352_pso,0.998762,1.02534
gen=23_member=2353_pso,0.998917,1.00533
gen=23_member=2354_pso,1.00606,1.02128
gen=23_member=2355_pso,1.01446,1.0052
gen=23_member=2356_pso,1.05768,1.14747
gen=23_member=2357_pso,1.01718,1.01699
gen=23_member=2358_pso,0.989459,1.03356
gen=23_member=2359_pso,1.00951,1.00118
gen=23_member=2360_pso,0.998276,1.00493
gen=23_member=2361_pso,0.995871,1.00146
gen=23_member=2362_pso,0.993054,0.989665
gen=23_member=2363_pso,1.01489,1.05413
gen=23_member=2364_pso,0.993252,1.00629
gen=23_member=2365_pso,0.981484,0.984951
gen=23_member=2366_pso,0.995396,0.98245
gen=23_member=2367_pso,1.00086,1.05453
gen=23_member=2368_pso,0.992585,0.976384
gen=23_member=2369_pso,1.03156,1.06019
gen=23_member=2370_pso,0.996303,0.994045
gen=23_member=2371_pso,0.997367,0.985904
gen=23_member=2372_pso,1.06685,1.10225
gen=23_member=2373_pso,0.996343,0.994242
gen=23_member=2374_pso,1.00605,1.04367
gen=23_member=2375_pso,0.99072,1.07421
gen=23_member=2376_pso,0.986818,1.00616
gen=23_member=2377_pso,1.00533,1.01406
gen=23_member=2378_pso,0.996377,0.988918
gen=23_member=2379_pso,1.01815,1.02113
gen=23_member=2380_pso,1.00574,0.97451
gen=23_member=2381_pso,0.997406,0.992766
gen=23_member=2382_pso,1.01007,1.01159
gen=23_member=2383_pso,0.993908,0.99076
gen=23_member=2384_pso,1.01433,1.03435
gen=23_member=2385_pso,0.996772,1.02919
gen=23_member=2386_pso,1.00041,0.988165
gen=23_member=2387_pso,1.00974,1.02476
gen=23_member=2388_pso,0.948934,1.01624
gen=23_member=2389_pso,0.999407,1.0036
gen=23_member=2390_pso,1.01266,1.02005
gen=23_member=2391_pso,1.00449,1.02675
gen=23_member=2392_pso,1.00161,0.999446
gen=23_member=2393_pso,1.01369,1.00928
gen=23_member=2394_pso,1.05157,0.976595
gen=23_member=2395_pso,1.01129,1.01422
gen=23_member=2396_pso,1.00601,0.973427
gen=23_member=2397_pso,1.01556,1.071
gen=23_member=2398_pso,0.994031,0.991419
gen=23_member=2399_pso,1.00302,1.02089
