child,parent_1,parent_2,parent_3
GEN=1_MEMBER=100_PSO,GEN=0_MEMBER=66,,
GEN=1_MEMBER=101_PSO,GEN=0_MEMBER=36,,
GEN=1_MEMBER=102_PSO,GEN=0_MEMBER=34,,
GEN=1_MEMBER=103_PSO,GEN=0_MEMBER=78,,
GEN=1_MEMBER=104_PSO,GEN=0_MEMBER=39,,
GEN=1_MEMBER=105_PSO,GEN=0_MEMBER=11,,
GEN=1_MEMBER=106_PSO,GEN=0_MEMBER=15,,
GEN=1_MEMBER=107_PSO,GEN=0_MEMBER=84,,
GEN=1_MEMBER=108_PSO,GEN=0_MEMBER=19,,
GEN=1_MEMBER=109_PSO,GEN=0_MEMBER=50,,
GEN=1_MEMBER=110_PSO,GEN=0_MEMBER=25,,
GEN=1_MEMBER=111_PSO,GEN=0_MEMBER=59,,
GEN=1_MEMBER=112_PSO,GEN=0_MEMBER=77,,
GEN=1_MEMBER=113_PSO,GEN=0_MEMBER=18,,
GEN=1_MEMBER=114_PSO,GEN=0_MEMBER=49,,
GEN=1_MEMBER=115_PSO,GEN=0_MEMBER=29,,
GEN=1_MEMBER=116_PSO,GEN=0_MEMBER=43,,
GEN=1_MEMBER=117_PSO,GEN=0_MEMBER=35,,
GEN=1_MEMBER=118_PSO,GEN=0_MEMBER=76,,
GEN=1_MEMBER=119_PSO,GEN=0_MEMBER=7,,
GEN=1_MEMBER=120_PSO,GEN=0_MEMBER=46,,
GEN=1_MEMBER=121_PSO,GEN=0_MEMBER=82,,
GEN=1_MEMBER=122_PSO,GEN=0_MEMBER=98,,
GEN=1_MEMBER=123_PSO,GEN=0_MEMBER=31,,
GEN=1_MEMBER=124_PSO,GEN=0_MEMBER=58,,
GEN=1_MEMBER=125_PSO,GEN=0_MEMBER=80,,
GEN=1_MEMBER=126_PSO,GEN=0_MEMBER=20,,
GEN=1_MEMBER=127_PSO,GEN=0_MEMBER=67,,
GEN=1_MEMBER=128_PSO,GEN=0_MEMBER=3,,
GEN=1_MEMBER=129_PSO,GEN=0_MEMBER=40,,
GEN=1_MEMBER=130_PSO,GEN=0_MEMBER=63,,
GEN=1_MEMBER=131_PSO,GEN=0_MEMBER=45,,
GEN=1_MEMBER=132_PSO,GEN=0_MEMBER=72,,
GEN=1_MEMBER=133_PSO,GEN=0_MEMBER=51,,
GEN=1_MEMBER=134_PSO,GEN=0_MEMBER=6,,
GEN=1_MEMBER=135_PSO,GEN=0_MEMBER=86,,
GEN=1_MEMBER=136_PSO,GEN=0_MEMBER=93,,
GEN=1_MEMBER=137_PSO,GEN=0_MEMBER=12,,
GEN=1_MEMBER=138_PSO,GEN=0_MEMBER=28,,
GEN=1_MEMBER=139_PSO,GEN=0_MEMBER=24,,
GEN=1_MEMBER=140_PSO,GEN=0_MEMBER=27,,
