generation,member,obj,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=2,830.13,53,-999,2024.01,2024.01,1,-999
0,gen=0_member=3,221.18,29,-999,4004.04,4004.04,1,-999
0,gen=0_member=5,581.7,46,-999,2535.01,2535.01,1,-999
0,gen=0_member=6,289.021,35,-999,3519.02,3519.02,1,-999
0,gen=0_member=7,102.417,20,-999,4422.02,4422.02,1,-999
0,gen=0_member=9,1096.4,57,-999,1629,1629,1,-999
0,gen=0_member=10,818.857,52,-999,2100.01,2100.01,1,-999
0,gen=0_member=11,6.06691,6,-999,4935.17,4935.17,1,-999
0,gen=0_member=12,343.579,38,-999,3239.02,3239.02,1,-999
0,gen=0_member=14,1448.91,61,-999,1122,1122,1,-999
0,gen=0_member=15,9.08572,7,-999,4914.11,4914.11,1,-999
0,gen=0_member=18,38.4364,14,-999,4740.05,4740.05,1,-999
0,gen=0_member=19,17.7876,9,-999,4872.09,4872.09,1,-999
0,gen=0_member=20,199.416,27,-999,4089.03,4089.03,1,-999
0,gen=0_member=24,361.099,40,-999,3120.02,3120.02,1,-999
0,gen=0_member=25,21.6472,11,-999,4830.07,4830.07,1,-999
0,gen=0_member=26,979.693,56,-999,1790,1790,1,-999
0,gen=0_member=27,403.54,41,-999,3059.01,3059.01,1,-999
0,gen=0_member=28,348.431,39,-999,3180.02,3180.02,1,-999
0,gen=0_member=29,66.1076,16,-999,4599.04,4599.04,1,-999
0,gen=0_member=31,152.822,24,-999,4284.02,4284.02,1,-999
0,gen=0_member=32,728.518,48,-999,2394,2394,1,-999
0,gen=0_member=34,4.16157,3,-999,4947.13,4947.13,1,-999
0,gen=0_member=35,86.9768,18,-999,4485.03,4485.03,1,-999
0,gen=0_member=36,2.27791,2,-999,4949.1,4949.1,1,-999
0,gen=0_member=39,5.40635,5,-999,4940.16,4940.16,1,-999
0,gen=0_member=40,226.852,30,-999,3915.03,3915.03,1,-999
0,gen=0_member=42,1323.55,59,-999,1380,1380,1,-999
0,gen=0_member=43,67.4865,17,-999,4572.04,4572.04,1,-999
0,gen=0_member=45,240.278,32,-999,3774.03,3774.03,1,-999
0,gen=0_member=46,116.581,21,-999,4389.02,4389.02,1,-999
0,gen=0_member=49,59.9772,15,-999,4625.04,4625.04,1,-999
0,gen=0_member=50,18.5133,10,-999,4845.09,4845.09,1,-999
0,gen=0_member=51,273.767,34,-999,3624.02,3624.02,1,-999
0,gen=0_member=53,2292.64,63,-999,390.001,390.001,1,-999
0,gen=0_member=54,781.099,51,-999,2175,2175,1,-999
0,gen=0_member=57,476.294,44,-999,2739.01,2739.01,1,-999
0,gen=0_member=58,168.615,25,-999,4247.02,4247.02,1,-999
0,gen=0_member=59,25.8903,12,-999,4797.07,4797.07,1,-999
0,gen=0_member=60,779.315,50,-999,2249.01,2249.01,1,-999
0,gen=0_member=63,239.119,31,-999,3822.03,3822.03,1,-999
0,gen=0_member=65,946.6,55,-999,1869.01,1869.01,1,-999
0,gen=0_member=66,2.07701,1,-999,4950.1,4950.1,1,-999
0,gen=0_member=67,204.198,28,-999,4047.03,4047.03,1,-999
0,gen=0_member=69,1274.75,58,-999,1464,1464,1,-999
0,gen=0_member=72,240.681,33,-999,3725.03,3725.03,1,-999
0,gen=0_member=74,3465.13,64,-999,99.0006,99.0006,1,-999
0,gen=0_member=75,478.694,45,-999,2672.01,2672.01,1,-999
0,gen=0_member=76,102.414,19,-999,4454.02,4454.02,1,-999
0,gen=0_member=77,34.868,13,-999,4760.05,4760.05,1,-999
0,gen=0_member=78,4.7992,4,-999,4944.14,4944.14,1,-999
0,gen=0_member=79,761.374,49,-999,2322.01,2322.01,1,-999
0,gen=0_member=80,197.023,26,-999,4170.02,4170.02,1,-999
0,gen=0_member=82,141.816,22,-999,4355.02,4355.02,1,-999
0,gen=0_member=83,688.9,47,-999,2465,2465,1,-999
0,gen=0_member=84,9.85629,8,-999,4905.11,4905.11,1,-999
0,gen=0_member=85,406.155,42,-999,2934.01,2934.01,1,-999
0,gen=0_member=86,315.013,36,-999,3410.02,3410.02,1,-999
0,gen=0_member=88,1991.65,62,-999,485.002,485.002,1,-999
0,gen=0_member=89,476.265,43,-999,2805.01,2805.01,1,-999
0,gen=0_member=91,1446.37,60,-999,1209,1209,1,-999
0,gen=0_member=93,319.922,37,-999,3354.02,3354.02,1,-999
0,gen=0_member=96,899.294,54,-999,1947.01,1947.01,1,-999
0,gen=0_member=98,149.087,23,-999,4320.02,4320.02,1,-999
1,gen=1_member=100_pso,50.0988,32,-999,18910.1,18910.1,1,-999
1,gen=1_member=101_pso,299.935,87,-999,12997,12997,1,-999
1,gen=1_member=102_pso,2.53304,11,-999,19845.2,19845.2,1,-999
1,gen=1_member=103_pso,0.148361,2,-999,19899.2,19899.2,1,-999
1,gen=1_member=104_pso,846.483,127,-999,6534.01,6534.01,1,-999
1,gen=1_member=105_pso,370.595,98,-999,11254,11254,1,-999
1,gen=1_member=106_pso,421.11,105,-999,10170,10170,1,-999
1,gen=1_member=107_pso,1692.58,146,-999,2134,2134,1,-999
1,gen=1_member=108_pso,1291.26,138,-999,4147,4147,1,-999
1,gen=1_member=109_pso,21.8938,24,-999,19404.1,19404.1,1,-999
1,gen=1_member=111_pso,50.36,33,-999,18865.1,18865.1,1,-999
1,gen=1_member=112_pso,765.664,121,-999,7497.01,7497.01,1,-999
1,gen=1_member=113_pso,3.64239,13,-999,19822.2,19822.2,1,-999
1,gen=1_member=114_pso,0.0251893,1,-999,19900.1,19900.1,1,-999
1,gen=1_member=115_pso,101.768,46,-999,17622,17622,1,-999
1,gen=1_member=116_pso,1191.3,135,-999,4849,4849,1,-999
1,gen=1_member=117_pso,753.78,119,-999,7810.01,7810.01,1,-999
1,gen=1_member=118_pso,1499.71,144,-999,2880,2880,1,-999
1,gen=1_member=119_pso,260.735,80,-999,14122,14122,1,-999
1,gen=1_member=120_pso,0.320454,4,-999,19894.2,19894.2,1,-999
1,gen=1_member=121_pso,393.832,100,-999,10989,10989,1,-999
1,gen=1_member=122_pso,3.31536,12,-999,19834.2,19834.2,1,-999
1,gen=1_member=123_pso,230.364,74,-999,14950,14950,1,-999
1,gen=1_member=124_pso,1124.98,134,-999,5022,5022,1,-999
1,gen=1_member=125_pso,251.287,78,-999,14440,14440,1,-999
1,gen=1_member=126_pso,15.3884,20,-999,19575.1,19575.1,1,-999
1,gen=1_member=127_pso,165.683,63,-999,16245,16245,1,-999
1,gen=1_member=128_pso,101.816,47,-999,17554,17554,1,-999
1,gen=1_member=129_pso,135.385,55,-999,16974,16974,1,-999
1,gen=1_member=130_pso,2.39509,10,-999,19855.2,19855.2,1,-999
1,gen=1_member=131_pso,732.571,118,-999,7965.01,7965.01,1,-999
1,gen=1_member=132_pso,82.239,42,-999,17947,17947,1,-999
1,gen=1_member=133_pso,1360.49,140,-999,3790,3790,1,-999
1,gen=1_member=134_pso,1272.73,136,-999,4500,4500,1,-999
1,gen=1_member=135_pso,363.999,97,-999,11385,11385,1,-999
1,gen=1_member=137_pso,401.434,101,-999,10855,10855,1,-999
1,gen=1_member=138_pso,173.51,65,-999,15984,15984,1,-999
1,gen=1_member=140_pso,149.314,60,-999,16579,16579,1,-999
1,gen=1_member=141_pso,127.346,53,-999,17125,17125,1,-999
1,gen=1_member=142_pso,642.085,113,-999,8725.01,8725.01,1,-999
1,gen=1_member=143_pso,415.378,104,-999,10309,10309,1,-999
1,gen=1_member=144_pso,1622.55,145,-999,2509,2509,1,-999
1,gen=1_member=145_pso,515.492,110,-999,9315.01,9315.01,1,-999
1,gen=1_member=146_pso,0.197237,3,-999,19897.2,19897.2,1,-999
1,gen=1_member=147_pso,199.498,69,-999,15529,15529,1,-999
1,gen=1_member=149_pso,61.6298,37,-999,18415.1,18415.1,1,-999
1,gen=1_member=150_pso,58.4055,35,-999,18574.1,18574.1,1,-999
1,gen=1_member=151_pso,267.697,82,-999,13905,13905,1,-999
1,gen=1_member=152_pso,179.701,66,-999,15895,15895,1,-999
1,gen=1_member=153_pso,258.947,79,-999,14229,14229,1,-999
1,gen=1_member=154_pso,1027.14,131,-999,5872,5872,1,-999
1,gen=1_member=155_pso,107.792,50,-999,17344,17344,1,-999
1,gen=1_member=156_pso,350.225,93,-999,11899,11899,1,-999
1,gen=1_member=157_pso,1366,141,-999,3610,3610,1,-999
1,gen=1_member=158_pso,53.1736,34,-999,18819.1,18819.1,1,-999
1,gen=1_member=159_pso,136.374,56,-999,16897,16897,1,-999
1,gen=1_member=160_pso,67.4608,39,-999,18304.1,18304.1,1,-999
1,gen=1_member=161_pso,262.31,81,-999,14014,14014,1,-999
1,gen=1_member=162_pso,22.1105,25,-999,19372.1,19372.1,1,-999
1,gen=1_member=163_pso,91.1577,44,-999,17755,17755,1,-999
1,gen=1_member=165_pso,280.918,84,-999,13684,13684,1,-999
1,gen=1_member=167_pso,99.3679,45,-999,17689,17689,1,-999
1,gen=1_member=170_pso,673.079,114,-999,8575.01,8575.01,1,-999
1,gen=1_member=173_pso,361.205,96,-999,11515,11515,1,-999
1,gen=1_member=174_pso,2.00886,7,-999,19879.2,19879.2,1,-999
1,gen=1_member=175_pso,685.736,115,-999,8424.01,8424.01,1,-999
1,gen=1_member=176_pso,779.484,123,-999,7180.01,7180.01,1,-999
1,gen=1_member=177_pso,143.795,58,-999,16740,16740,1,-999
1,gen=1_member=178_pso,153.343,62,-999,16414,16414,1,-999
1,gen=1_member=179_pso,1041.14,132,-999,5704,5704,1,-999
1,gen=1_member=180_pso,134.128,54,-999,17050,17050,1,-999
1,gen=1_member=181_pso,359.991,94,-999,11772,11772,1,-999
1,gen=1_member=183_pso,1.29611,6,-999,19885.2,19885.2,1,-999
1,gen=1_member=184_pso,48.3255,30,-999,18997.1,18997.1,1,-999
1,gen=1_member=185_pso,25.7288,26,-999,19270.1,19270.1,1,-999
1,gen=1_member=187_pso,48.6838,31,-999,18954.1,18954.1,1,-999
1,gen=1_member=188_pso,112.618,51,-999,17272,17272,1,-999
1,gen=1_member=189_pso,343.058,90,-999,12274,12274,1,-999
1,gen=1_member=191_pso,282.301,85,-999,13572,13572,1,-999
1,gen=1_member=192_pso,1864.65,147,-999,1564,1564,1,-999
1,gen=1_member=193_pso,381.835,99,-999,11122,11122,1,-999
1,gen=1_member=194_pso,0.919669,5,-999,19890.2,19890.2,1,-999
1,gen=1_member=195_pso,451.118,106,-999,9889.01,9889.01,1,-999
1,gen=1_member=196_pso,201.911,70,-999,15435,15435,1,-999
1,gen=1_member=197_pso,515.57,111,-999,9169.01,9169.01,1,-999
1,gen=1_member=199_pso,73.4476,41,-999,18189.1,18189.1,1,-999
1,gen=0_member=66,2.07701,8,-999,19872.2,19872.2,1,-999
1,gen=0_member=36,2.27791,9,-999,19864.2,19864.2,1,-999
1,gen=0_member=34,4.16157,14,-999,19809.2,19809.2,1,-999
1,gen=0_member=78,4.7992,15,-999,19795.2,19795.2,1,-999
1,gen=0_member=39,5.40635,16,-999,19780.2,19780.2,1,-999
1,gen=0_member=11,6.06691,17,-999,19764.2,19764.2,1,-999
1,gen=0_member=15,9.08572,18,-999,19690.1,19690.1,1,-999
1,gen=0_member=84,9.85629,19,-999,19669.1,19669.1,1,-999
1,gen=0_member=19,17.7876,21,-999,19522.1,19522.1,1,-999
1,gen=0_member=50,18.5133,22,-999,19465.1,19465.1,1,-999
1,gen=0_member=25,21.6472,23,-999,19435.1,19435.1,1,-999
1,gen=0_member=59,25.8903,27,-999,19234.1,19234.1,1,-999
1,gen=0_member=77,34.868,28,-999,19159.1,19159.1,1,-999
1,gen=0_member=18,38.4364,29,-999,19080.1,19080.1,1,-999
1,gen=0_member=49,59.9772,36,-999,18522.1,18522.1,1,-999
1,gen=0_member=29,66.1076,38,-999,18360.1,18360.1,1,-999
1,gen=0_member=43,67.4865,40,-999,18247.1,18247.1,1,-999
1,gen=0_member=35,86.9768,43,-999,17884,17884,1,-999
1,gen=0_member=76,102.414,48,-999,17485,17485,1,-999
1,gen=0_member=7,102.417,49,-999,17415,17415,1,-999
1,gen=0_member=46,116.581,52,-999,17199,17199,1,-999
1,gen=0_member=82,141.816,57,-999,16819,16819,1,-999
1,gen=0_member=98,149.087,59,-999,16660,16660,1,-999
