generation,member,obs,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=2,830.13,53,-999,2024.01,2024.01,1,-999
0,gen=0_member=3,221.18,29,-999,4004.04,4004.04,1,-999
0,gen=0_member=5,581.7,46,-999,2535.01,2535.01,1,-999
0,gen=0_member=6,289.021,35,-999,3519.02,3519.02,1,-999
0,gen=0_member=7,102.417,20,-999,4422.02,4422.02,1,-999
0,gen=0_member=9,1096.4,57,-999,1629,1629,1,-999
0,gen=0_member=10,818.857,52,-999,2100.01,2100.01,1,-999
0,gen=0_member=11,6.06691,6,-999,4935.17,4935.17,1,-999
0,gen=0_member=12,343.579,38,-999,3239.02,3239.02,1,-999
0,gen=0_member=14,1448.91,61,-999,1122,1122,1,-999
0,gen=0_member=15,9.08572,7,-999,4914.11,4914.11,1,-999
0,gen=0_member=18,38.4364,14,-999,4740.05,4740.05,1,-999
0,gen=0_member=19,17.7876,9,-999,4872.09,4872.09,1,-999
0,gen=0_member=20,199.416,27,-999,4089.03,4089.03,1,-999
0,gen=0_member=24,361.099,40,-999,3120.02,3120.02,1,-999
0,gen=0_member=25,21.6472,11,-999,4830.07,4830.07,1,-999
0,gen=0_member=26,979.693,56,-999,1790,1790,1,-999
0,gen=0_member=27,403.54,41,-999,3059.01,3059.01,1,-999
0,gen=0_member=28,348.431,39,-999,3180.02,3180.02,1,-999
0,gen=0_member=29,66.1076,16,-999,4599.04,4599.04,1,-999
0,gen=0_member=31,152.822,24,-999,4284.02,4284.02,1,-999
0,gen=0_member=32,728.518,48,-999,2394,2394,1,-999
0,gen=0_member=34,4.16157,3,-999,4947.13,4947.13,1,-999
0,gen=0_member=35,86.9768,18,-999,4485.03,4485.03,1,-999
0,gen=0_member=36,2.27791,2,-999,4949.1,4949.1,1,-999
0,gen=0_member=39,5.40635,5,-999,4940.16,4940.16,1,-999
0,gen=0_member=40,226.852,30,-999,3915.03,3915.03,1,-999
0,gen=0_member=42,1323.55,59,-999,1380,1380,1,-999
0,gen=0_member=43,67.4865,17,-999,4572.04,4572.04,1,-999
0,gen=0_member=45,240.278,32,-999,3774.03,3774.03,1,-999
0,gen=0_member=46,116.581,21,-999,4389.02,4389.02,1,-999
0,gen=0_member=49,59.9772,15,-999,4625.04,4625.04,1,-999
0,gen=0_member=50,18.5133,10,-999,4845.09,4845.09,1,-999
0,gen=0_member=51,273.767,34,-999,3624.02,3624.02,1,-999
0,gen=0_member=53,2292.64,63,-999,390.001,390.001,1,-999
0,gen=0_member=54,781.099,51,-999,2175,2175,1,-999
0,gen=0_member=57,476.294,44,-999,2739.01,2739.01,1,-999
0,gen=0_member=58,168.615,25,-999,4247.02,4247.02,1,-999
0,gen=0_member=59,25.8903,12,-999,4797.07,4797.07,1,-999
0,gen=0_member=60,779.315,50,-999,2249.01,2249.01,1,-999
0,gen=0_member=63,239.119,31,-999,3822.03,3822.03,1,-999
0,gen=0_member=65,946.6,55,-999,1869.01,1869.01,1,-999
0,gen=0_member=66,2.07701,1,-999,4950.1,4950.1,1,-999
0,gen=0_member=67,204.198,28,-999,4047.03,4047.03,1,-999
0,gen=0_member=69,1274.75,58,-999,1464,1464,1,-999
0,gen=0_member=72,240.681,33,-999,3725.03,3725.03,1,-999
0,gen=0_member=74,3465.13,64,-999,99.0006,99.0006,1,-999
0,gen=0_member=75,478.694,45,-999,2672.01,2672.01,1,-999
0,gen=0_member=76,102.414,19,-999,4454.02,4454.02,1,-999
0,gen=0_member=77,34.868,13,-999,4760.05,4760.05,1,-999
0,gen=0_member=78,4.7992,4,-999,4944.14,4944.14,1,-999
0,gen=0_member=79,761.374,49,-999,2322.01,2322.01,1,-999
0,gen=0_member=80,197.023,26,-999,4170.02,4170.02,1,-999
0,gen=0_member=82,141.816,22,-999,4355.02,4355.02,1,-999
0,gen=0_member=83,688.9,47,-999,2465,2465,1,-999
0,gen=0_member=84,9.85629,8,-999,4905.11,4905.11,1,-999
0,gen=0_member=85,406.155,42,-999,2934.01,2934.01,1,-999
0,gen=0_member=86,315.013,36,-999,3410.02,3410.02,1,-999
0,gen=0_member=88,1991.65,62,-999,485.002,485.002,1,-999
0,gen=0_member=89,476.265,43,-999,2805.01,2805.01,1,-999
0,gen=0_member=91,1446.37,60,-999,1209,1209,1,-999
0,gen=0_member=93,319.922,37,-999,3354.02,3354.02,1,-999
0,gen=0_member=96,899.294,54,-999,1947.01,1947.01,1,-999
0,gen=0_member=98,149.087,23,-999,4320.02,4320.02,1,-999
1,gen=1_member=101_pso,1424.12,125,-999,4459,4459,1,-999
1,gen=1_member=103_pso,1420.29,124,-999,4617,4617,1,-999
1,gen=1_member=105_pso,4.21176,7,-999,16999.2,16999.2,1,-999
1,gen=1_member=109_pso,64.8315,37,-999,15745.1,15745.1,1,-999
1,gen=1_member=111_pso,502.301,94,-999,9394.01,9394.01,1,-999
1,gen=1_member=113_pso,78.1479,42,-999,15424.1,15424.1,1,-999
1,gen=1_member=115_pso,1851.73,131,-999,2655,2655,1,-999
1,gen=1_member=117_pso,1219.7,119,-999,5392,5392,1,-999
1,gen=1_member=121_pso,101.289,49,-999,14940,14940,1,-999
1,gen=1_member=123_pso,52.1718,30,-999,16200.1,16200.1,1,-999
1,gen=1_member=125_pso,52.1628,29,-999,16240.1,16240.1,1,-999
1,gen=1_member=129_pso,1249.63,120,-999,5239.01,5239.01,1,-999
1,gen=1_member=133_pso,0.8865,1,-999,17020.1,17020.1,1,-999
1,gen=1_member=137_pso,898.127,108,-999,7290.01,7290.01,1,-999
1,gen=1_member=139_pso,280.673,73,-999,12460,12460,1,-999
1,gen=1_member=141_pso,332.179,77,-999,11767,11767,1,-999
1,gen=1_member=143_pso,63.9438,36,-999,15795.1,15795.1,1,-999
1,gen=1_member=147_pso,55.3491,31,-999,16074.1,16074.1,1,-999
1,gen=1_member=149_pso,361.379,81,-999,11349,11349,1,-999
1,gen=1_member=151_pso,77.432,41,-999,15480.1,15480.1,1,-999
1,gen=1_member=155_pso,452.565,87,-999,10465,10465,1,-999
1,gen=1_member=157_pso,5.19908,9,-999,16984.2,16984.2,1,-999
1,gen=1_member=159_pso,79.4455,43,-999,15367.1,15367.1,1,-999
1,gen=1_member=161_pso,56.9882,32,-999,16030.1,16030.1,1,-999
1,gen=1_member=163_pso,4.10641,5,-999,17010.2,17010.2,1,-999
1,gen=1_member=165_pso,1773.29,129,-999,3159,3159,1,-999
1,gen=1_member=167_pso,3431.63,140,-999,367.001,367.001,1,-999
1,gen=1_member=169_pso,2141.97,136,-999,1444,1444,1,-999
1,gen=1_member=171_pso,1123.35,116,-999,5994,5994,1,-999
1,gen=1_member=173_pso,47.6062,28,-999,16279.1,16279.1,1,-999
1,gen=1_member=175_pso,2565.77,138,-999,1089,1089,1,-999
1,gen=1_member=177_pso,57.4428,33,-999,15985.1,15985.1,1,-999
1,gen=1_member=179_pso,479.176,93,-999,9639.02,9639.02,1,-999
1,gen=1_member=181_pso,477.972,91,-999,9880.02,9880.02,1,-999
1,gen=1_member=183_pso,1410.14,123,-999,4774,4774,1,-999
1,gen=1_member=185_pso,1172.07,117,-999,5845,5845,1,-999
1,gen=1_member=187_pso,1.25734,2,-999,17019.1,17019.1,1,-999
1,gen=1_member=191_pso,32.1297,22,-999,16555.1,16555.1,1,-999
1,gen=1_member=193_pso,59.5936,34,-999,15892.1,15892.1,1,-999
1,gen=1_member=195_pso,40.3096,27,-999,16354.1,16354.1,1,-999
1,gen=1_member=199_pso,93.7574,46,-999,15129,15129,1,-999
1,gen=1_member=203_pso,427.73,86,-999,10692,10692,1,-999
1,gen=1_member=207_pso,2790.94,139,-999,910.001,910.001,1,-999
1,gen=1_member=209_pso,28.432,21,-999,16614.1,16614.1,1,-999
1,gen=1_member=211_pso,122.185,53,-999,14674,14674,1,-999
1,gen=1_member=213_pso,701.398,99,-999,8635.01,8635.01,1,-999
1,gen=1_member=215_pso,908.693,110,-999,7009.01,7009.01,1,-999
1,gen=1_member=217_pso,457.27,88,-999,10350,10350,1,-999
1,gen=1_member=219_pso,729.98,101,-999,8242.01,8242.01,1,-999
1,gen=1_member=221_pso,238.95,67,-999,13104,13104,1,-999
1,gen=1_member=223_pso,131.599,55,-999,14535,14535,1,-999
1,gen=1_member=225_pso,79.9721,44,-999,15309.1,15309.1,1,-999
1,gen=1_member=227_pso,730.744,102,-999,8109.01,8109.01,1,-999
1,gen=1_member=229_pso,505.191,95,-999,9270.01,9270.01,1,-999
1,gen=1_member=235_pso,2107.13,135,-999,1620,1620,1,-999
1,gen=1_member=239_pso,913.063,111,-999,6867.01,6867.01,1,-999
1,gen=1_member=241_pso,425.483,85,-999,10804,10804,1,-999
1,gen=1_member=243_pso,157.018,59,-999,14170,14170,1,-999
1,gen=1_member=247_pso,1939.62,132,-999,2142,2142,1,-999
1,gen=1_member=249_pso,93.9546,47,-999,15067,15067,1,-999
1,gen=1_member=251_pso,1773.99,130,-999,2992,2992,1,-999
1,gen=1_member=259_pso,96.6446,48,-999,15004,15004,1,-999
1,gen=1_member=261_pso,6.34829,12,-999,16954.2,16954.2,1,-999
1,gen=1_member=263_pso,234.831,66,-999,13279,13279,1,-999
1,gen=1_member=269_pso,8.91506,13,-999,16915.1,16915.1,1,-999
1,gen=1_member=271_pso,1680.9,128,-999,3490,3490,1,-999
1,gen=1_member=273_pso,77.1569,40,-999,15535.1,15535.1,1,-999
1,gen=1_member=277_pso,1191.7,118,-999,5695,5695,1,-999
1,gen=1_member=281_pso,128.322,54,-999,14605,14605,1,-999
1,gen=1_member=283_pso,33.1929,23,-999,16524.1,16524.1,1,-999
1,gen=1_member=285_pso,698.4,98,-999,8764.01,8764.01,1,-999
1,gen=1_member=289_pso,384.883,82,-999,11242,11242,1,-999
1,gen=1_member=291_pso,37.2061,25,-999,16425.1,16425.1,1,-999
1,gen=1_member=293_pso,9.09858,15,-999,16884.1,16884.1,1,-999
1,gen=1_member=295_pso,267.678,71,-999,12649,12649,1,-999
1,gen=1_member=297_pso,935.799,112,-999,6724.01,6724.01,1,-999
1,gen=1_member=299_pso,1982.44,133,-999,1969,1969,1,-999
1,gen=0_member=66,2.07701,3,-999,17017.1,17017.1,1,-999
1,gen=0_member=36,2.27791,4,-999,17014.1,17014.1,1,-999
1,gen=0_member=34,4.16157,6,-999,17005.2,17005.2,1,-999
1,gen=0_member=78,4.7992,8,-999,16992.2,16992.2,1,-999
1,gen=0_member=39,5.40635,10,-999,16975.2,16975.2,1,-999
1,gen=0_member=11,6.06691,11,-999,16965.2,16965.2,1,-999
1,gen=0_member=15,9.08572,14,-999,16900.1,16900.1,1,-999
1,gen=0_member=84,9.85629,16,-999,16849.1,16849.1,1,-999
1,gen=0_member=19,17.7876,17,-999,16767.1,16767.1,1,-999
1,gen=0_member=50,18.5133,18,-999,16720.1,16720.1,1,-999
1,gen=0_member=25,21.6472,19,-999,16695.1,16695.1,1,-999
1,gen=0_member=59,25.8903,20,-999,16642.1,16642.1,1,-999
1,gen=0_member=77,34.868,24,-999,16492.1,16492.1,1,-999
1,gen=0_member=18,38.4364,26,-999,16390.1,16390.1,1,-999
1,gen=0_member=49,59.9772,35,-999,15844.1,15844.1,1,-999
1,gen=0_member=29,66.1076,38,-999,15694.1,15694.1,1,-999
1,gen=0_member=43,67.4865,39,-999,15642.1,15642.1,1,-999
1,gen=0_member=35,86.9768,45,-999,15190.1,15190.1,1,-999
1,gen=0_member=76,102.414,50,-999,14875,14875,1,-999
1,gen=0_member=7,102.417,51,-999,14809,14809,1,-999
1,gen=0_member=46,116.581,52,-999,14742,14742,1,-999
1,gen=0_member=82,141.816,56,-999,14464,14464,1,-999
1,gen=0_member=98,149.087,57,-999,14319,14319,1,-999
1,gen=0_member=31,152.822,58,-999,14245,14245,1,-999
1,gen=0_member=58,168.615,60,-999,14094,14094,1,-999
1,gen=0_member=80,197.023,61,-999,13860,13860,1,-999
1,gen=0_member=20,199.416,62,-999,13699,13699,1,-999
1,gen=0_member=67,204.198,63,-999,13617,13617,1,-999
1,gen=0_member=3,221.18,64,-999,13534,13534,1,-999
1,gen=0_member=40,226.852,65,-999,13365,13365,1,-999
1,gen=0_member=63,239.119,68,-999,13015,13015,1,-999
1,gen=0_member=45,240.278,69,-999,12925,12925,1,-999
