real_name,par1,par2
dv_cand_sv:6.06e-08,-0.0503384,-1.69769
dv_cand_sv:6.06e-07,-0.0504367,-1.69795
dv_cand_sv:3.03e-06,-0.0508738,-1.69913
dv_cand_sv:6.06e-06,-0.0514202,-1.70061
dv_cand_sv:1.51e-05,-0.0530593,-1.70502
dv_cand_sv:3.03e-05,-0.055791,-1.71239
dv_cand_sv:6.06e-05,-0.0612546,-1.72712
dv_cand_sv:0.000303,-0.104963,-1.84494
dv_cand_sv:0.000454,-0.132281,-1.91859
dv_cand_sv:0.000606,-0.159599,-1.99223
dv_cand_sv:0.00151 ,-0.323506,-2.2
dv_cand_sv:0.00303 ,-0.596685,-2.2
dv_cand_sv:0.00606 ,-1.14304,-2.2
dv_cand_sv:0.0121  ,-2.2,-2.2
dv_cand_sv:0.0303  ,-2.2,-2.2
dv_cand_sv:0.0606  ,-2.2,-2.2
