real_name,constraint,obs
dv_cand_sv:7.73e-08,-1.29161,272.899
dv_cand_sv:7.73e-07,-1.29207,272.974
dv_cand_sv:3.87e-06,-1.29408,273.309
dv_cand_sv:7.73e-06,-1.29659,273.727
dv_cand_sv:1.93e-05,-1.30414,274.986
dv_cand_sv:3.87e-05,-1.31672,277.094
dv_cand_sv:7.73e-05,-1.34187,281.345
dv_cand_sv:0.000387,-1.5431,317.148
dv_cand_sv:0.00058 ,-1.66887,341.196
dv_cand_sv:0.000773,-1.79464,366.587
dv_cand_sv:0.00193 ,-2.41514,488.849
dv_cand_sv:0.00387 ,-2.96458,536.578
dv_cand_sv:0.00773 ,-4.06347,832.889
dv_cand_sv:0.0155  ,-6.26124,2979.64
dv_cand_sv:0.0387  ,-7.15,4957.6
