real_name,par1,par2
0,-0.20001,-0.918285
1,0.00411798,-0.694976
2,0.185237,-1.16551
3,-0.166112,-1.34694
4,0.00140081,-1.57852
5,-0.408803,-1.19042
6,-0.0819188,-1.19645
7,-0.16553,-0.936019
8,0.0194897,-1.7114
9,-0.785496,-0.828481
10,-0.347617,-0.495452
11,-0.0131395,-0.623202
12,0.0595803,-0.198839
13,0.206496,-1.28606
14,0.498041,-1.95537
15,-0.228968,-1.39942
16,-0.672798,-1.31366
17,-0.226387,-1.56278
18,-1.09554,-0.945436
19,-0.691069,-0.683815
20,0.511742,-0.683886
21,-0.31091,0.13368
22,-0.373152,-0.130811
23,-0.705516,-0.0482459
24,-0.104876,-1.17071
25,0.678278,-1.05622
26,-0.876225,-1.20953
27,-0.0275754,-0.780966
28,-0.762409,-1.26411
29,-0.711008,-0.631652
30,-0.546017,-0.308902
31,-0.0491327,-0.957347
32,0.383921,-0.745576
33,0.169416,-1.19596
34,0.682946,-1.27093
35,-0.642725,-0.977772
36,-0.415559,0.119519
37,-0.481313,-1.41094
38,0.19463,-1.31417
39,-0.358443,-0.834094
40,-0.457395,-0.851377
41,-0.27176,-1.89567
42,0.173695,-0.981565
43,-0.594181,-1.48408
44,-0.105432,-1.2969
45,-0.565553,-0.388676
46,-0.653887,-1.79791
47,-0.76786,-1.35465
48,0.329087,-1.02185
49,-0.409367,-0.41783
50,0.0471305,-0.809131
51,-0.210207,-0.41678
52,-0.800936,-0.751042
53,0.0420013,-0.524418
54,-0.362753,-0.519054
55,-0.284687,-0.590066
56,-0.0130558,-0.478065
57,-0.387617,-1.10063
58,-0.315105,-0.890401
59,-0.141671,-0.847277
60,-0.421309,-0.676688
61,-0.848244,-0.162065
62,-0.868298,-0.661004
63,0.0606345,-0.538875
64,-0.0332188,-0.477003
65,0.0954581,-1.78167
66,-0.194714,-1.36573
67,-0.463988,-0.455487
68,-0.133658,-0.53146
69,0.181752,-0.799121
70,0.349203,-1.18678
71,-0.114364,-0.548481
72,0.0796548,-0.748991
73,-0.379166,-0.572627
74,0.0986066,-1.55076
75,-0.327883,-1.36248
76,0.287239,-0.765512
77,-0.453023,-1.28177
78,-0.846897,-1.10542
79,-0.587503,-0.184243
80,-0.428977,-0.80968
81,0.171798,-0.458232
82,-0.0984894,-1.00743
83,-0.52624,-0.567465
84,-0.598454,-1.53701
85,-0.734689,-0.870021
86,0.0697103,-0.912278
87,-0.509249,-1.1282
88,-0.417064,-1.02753
89,0.379324,-0.223119
90,-0.495567,-1.17865
91,-0.19502,-0.658949
92,-0.469665,-0.879348
93,-0.617828,-0.594825
94,0.042905,-1.29529
95,-0.534494,-0.845136
96,-0.0797433,-1.1705
97,-0.437318,-0.563021
98,-0.445755,-1.30903
base,-0.186272,-0.881866
