real_name,par1,par2
dv_cand_sv:3.65e-08,0.297428,-1.45303
dv_cand_sv:3.65e-07,0.29753,-1.45315
dv_cand_sv:1.82e-06,0.29798,-1.45369
dv_cand_sv:3.65e-06,0.298543,-1.45435
dv_cand_sv:9.11e-06,0.300231,-1.45635
dv_cand_sv:1.82e-05,0.303045,-1.45968
dv_cand_sv:3.65e-05,0.308673,-1.46634
dv_cand_sv:0.000182,0.353698,-1.51962
dv_cand_sv:0.000273,0.381838,-1.55292
dv_cand_sv:0.000365,0.409978,-1.58622
dv_cand_sv:0.000911,0.57882,-1.78602
dv_cand_sv:0.00182 ,0.860223,-2.11901
dv_cand_sv:0.00365 ,1.42303,-2.2
dv_cand_sv:0.00729 ,2.2,-2.2
dv_cand_sv:0.0182  ,2.2,-2.2
dv_cand_sv:0.0365  ,2.2,-2.2
