real_name,constraint,obs
dv_cand_sv:2.86e-08,-2.25609,291.481
dv_cand_sv:1.43e-06,-2.25685,291.657
dv_cand_sv:2.86e-06,-2.25763,291.836
dv_cand_sv:7.14e-06,-2.25998,292.374
dv_cand_sv:1.43e-05,-2.26389,293.271
dv_cand_sv:2.86e-05,-2.2717,295.072
dv_cand_sv:0.000143,-2.33423,309.734
dv_cand_sv:0.000214,-2.3733,319.133
dv_cand_sv:0.000286,-2.41238,328.715
dv_cand_sv:0.000714,-2.64685,390.144
dv_cand_sv:0.00143 ,-3.03762,508.388
dv_cand_sv:0.00286 ,-3.50992,644.798
dv_cand_sv:0.00571 ,-4.19155,890.117
dv_cand_sv:0.0143  ,-6.23642,2936.44
dv_cand_sv:0.0286  ,-7.15,4957.6
