real_name,constraint,obs
0,-0.849564,283.748
1,-2.05844,142.021
2,-2.28094,425.82
3,-2.57708,252.328
4,-0.728083,111.316
5,-1.70149,393.413
6,-1.87462,416.146
7,-2.89707,269.892
8,-1.78596,307.281
9,-3.27273,431.627
10,-1.91432,430.934
11,-1.80372,282.119
12,-1.67956,193.479
13,-1.20534,78.7911
14,-2.77476,463.768
15,-2.65322,477.317
16,-2.38689,294.33
17,-0.996226,258.732
18,-0.134061,147.505
19,-0.184993,107.374
20,-0.415457,88.6878
21,-1.35505,218.449
22,-1.08581,106.218
23,-0.84299,310.44
24,-1.79943,156.856
25,-0.781349,135.544
26,-2.81129,427.212
27,-2.38746,239.725
28,-0.00843975,292.109
29,-1.76103,224.178
30,-2.03193,240.865
31,-2.85202,355.782
32,-1.59653,106.387
33,-2.00811,109.955
34,-2.30934,303.973
35,-3.34797,522.506
36,-1.88666,359.463
37,0.00817208,45.4917
38,-2.02844,221.453
39,-0.461249,329.592
40,-1.4911,157.444
41,-1.99752,265.723
42,-3.262,519.449
43,-1.81705,123.374
44,-2.01592,211.837
45,-2.25671,203.699
46,-2.69794,441.315
47,-0.988548,235.323
48,-1.36813,376.966
49,-1.08974,147.654
50,-1.60458,104.216
51,-0.244924,467.554
52,-1.10903,595.179
53,-2.6347,342.295
54,-0.132363,450.068
55,-1.76324,136.722
56,-2.20993,317.667
57,-1.66927,224.257
58,0.613933,323.553
59,-2.96805,315.566
60,-1.30625,308.173
61,-1.99615,219.994
62,-2.88057,442.062
63,-1.49815,110.148
64,-1.86529,353.324
65,-2.77586,448.601
66,-1.63203,148.323
67,-2.15488,162.002
68,-1.72822,59.9644
69,-2.09605,287.143
70,-1.0941,115.746
71,-2.74461,366.939
72,-1.68323,263.254
73,-2.76652,358.839
74,-2.17214,288.543
75,-1.64651,116.48
76,-2.18331,286.256
77,-3.62941,631.03
78,-0.705975,161.719
79,-1.29059,403.52
80,-4.20117,863.813
81,-2.14659,305.532
82,-0.920105,44.1087
83,-0.304012,104.758
84,-2.36058,487.106
85,-0.573097,35.8817
86,-4.20472,896.329
87,-1.83606,381.568
88,-1.07955,152.488
89,-1.60589,83.9258
90,-0.846327,417.259
91,-0.799079,53.0472
92,-1.71819,203.355
93,-1.60525,124.158
94,-2.59,285.673
95,-3.38668,475.551
96,-0.933138,200.162
97,-2.61256,355.282
98,-2.4179,466.231
99,-2.61651,244.803
100,-2.29747,377.236
101,-1.15204,121.115
102,-3.42464,488.343
103,-2.06423,277.725
104,-3.16548,473.586
105,-0.231586,5.4358
106,-3.49747,641.549
107,-2.04357,126.137
108,-2.08355,368.325
109,-2.65511,398.213
110,-2.61851,381.333
111,-1.66835,304.557
112,-1.27576,196.912
113,-2.68159,310.177
114,-3.6337,650.337
115,-1.534,128.2
116,-3.08776,336.117
117,-0.8982,114.327
118,-2.58809,220.374
119,-3.0055,542.446
120,-1.35805,298.004
121,-1.82056,154.766
122,-1.47609,157.215
123,-1.66904,56.2815
124,-2.18569,400.048
125,-1.66356,186.031
126,-2.25212,159.485
127,-1.65599,307.962
128,-0.250985,414.804
129,-2.63512,219.32
130,-2.8794,375.279
131,-2.22215,354.971
132,-0.53466,276.835
133,-1.3688,305.754
134,-0.425408,214.74
135,-1.28918,149.442
136,-1.5938,136.701
137,-2.18661,224.004
138,-1.71127,198.105
139,-1.90965,181.732
140,-0.819039,261.612
141,-1.18927,162.071
142,-1.93418,156.109
143,-1.30308,233.453
144,-1.29759,358.692
145,-1.25254,271.019
146,-2.07701,218.717
147,-2.7136,429.366
148,-4.21028,872.43
149,-0.771318,236.326
150,-1.77411,291.727
151,-0.441793,93.3752
152,-2.24692,245.788
153,-2.12369,131.459
154,-1.39142,365.33
155,-1.98038,489.406
156,-0.893695,223.506
157,-2.33454,221.889
158,-0.0979484,234.86
159,-2.57203,178.036
160,-2.02455,431.662
161,-1.47045,373.966
162,-1.61343,469.891
163,-3.58209,576.218
164,-1.90428,121.387
165,-1.61998,165.194
166,-1.93717,337.428
167,-1.0979,171.155
168,-0.152583,510.217
169,-2.09228,306.849
170,0.115268,103.997
171,-1.14223,167.772
172,-0.0758383,344.308
173,-3.15006,414.346
174,-0.759718,284.688
175,-2.18133,222.76
176,-2.57585,337.518
177,-1.47072,286.398
178,-3.16264,475.615
179,-1.85458,220.778
180,-2.98282,393.038
181,-2.80579,268.759
182,-1.59993,134.532
183,-1.05202,228.873
184,-3.21091,431.952
185,-2.98442,437.503
186,-0.938933,235.825
187,-1.36596,201.763
188,-1.53143,86.5764
189,-0.396595,349.925
190,-1.96289,157.533
191,-2.1417,339.978
192,-1.95289,180.173
193,-1.95079,412.798
194,-2.00645,184.954
195,-0.727418,618.169
196,-2.77459,280.222
197,-1.84252,56.5016
198,-0.603247,298.101
base,-1.80346,223.283
