real_name,par1,par2
dv_cand_sv:1.34e-05,-1.35302,-1.00743
dv_cand_sv:0.000134,-1.53024,-1.07432
dv_cand_sv:0.00067 ,-2.2,-1.37158
dv_cand_sv:0.00134 ,-2.2,-1.74316
dv_cand_sv:0.00335 ,-2.2,-2.2
dv_cand_sv:0.0067  ,-2.2,-2.2
dv_cand_sv:0.0134  ,-2.2,-2.2
dv_cand_sv:0.067   ,-2.2,-2.2
dv_cand_sv:0.101   ,-2.2,-2.2
dv_cand_sv:0.134   ,-2.2,-2.2
dv_cand_sv:0.335   ,-2.2,-2.2
dv_cand_sv:0.67    ,-2.2,-2.2
dv_cand_sv:1.34    ,-2.2,-2.2
dv_cand_sv:2.68    ,-2.2,-2.2
dv_cand_sv:6.7     ,-2.2,-2.2
dv_cand_sv:13.4    ,-2.2,-2.2
