iteration,total_runs,obs_realization,par_realization,head,less_obs,extra_sfr,less_pi,greater_pi,obj_func
0,51,0,0,0,0,0,0,0,0
0,51,1,1,0,0,0,0,0,0
0,51,2,2,0,0,0,0,0,0
0,51,3,3,0,0,0,0,0,0
0,51,5,5,0,0,0,0,0,0
0,51,6,6,0,0,0,0,0,0
0,51,7,7,0,0,0,0,0,0
0,51,8,8,0,0,0,0,0,0
0,51,9,9,0,0,0,0,0,0
0,51,10,10,0,0,0,0,0,0
0,51,11,11,0,0,0,0,0,0
0,51,12,12,0,435600,0,0,0,0
0,51,13,13,0,0,0,0,0,0
0,51,14,14,0,0,0,0,0,0
0,51,15,15,0,0,0,0,0,0
0,51,17,17,0,0,0,0,0,0
0,51,18,18,0,0,0,0,0,0
0,51,19,19,0,0,0,0,0,0
0,51,20,20,0,8.66484e+07,0,0,0,0
0,51,21,21,0,4.41e+06,0,0,0,0
0,51,22,22,0,0,0,0,0,0
0,51,23,23,0,0,0,0,0,0
0,51,24,24,0,0,0,0,0,0
0,51,25,25,0,0,0,0,0,0
0,51,26,26,0,0,0,0,0,0
0,51,27,27,0,0,0,0,0,0
0,51,28,28,0,0,0,0,0,0
0,51,29,29,0,0,0,0,0,0
0,51,30,30,0,0,0,0,0,0
0,51,31,31,0,0,0,0,0,0
0,51,32,32,0,0,0,0,0,0
0,51,33,33,0,0,0,0,0,0
0,51,34,34,0,3.4289e+06,0,0,0,0
0,51,35,35,0,0,0,0,0,0
0,51,36,36,0,0,0,0,0,0
0,51,37,37,0,7.4579e+06,0,0,0,0
0,51,base,base,0,0,0,0,0,0
1,108,0,0,0,0,0,0,0,0
1,108,1,1,0,0,0,0,0,0
1,108,2,2,0,0,0,0,0,0
1,108,3,3,0,0,0,0,0,0
1,108,5,5,0,0,0,0,0,0
1,108,6,6,0,0,0,0,0,0
1,108,7,7,0,0,0,0,0,0
1,108,8,8,0,0,0,0,0,0
1,108,9,9,0,0,0,0,0,0
1,108,10,10,0,0,0,0,0,0
1,108,11,11,0,0,0,0,0,0
1,108,12,12,0,160000,0,0,0,0
1,108,13,13,0,0,0,0,0,0
1,108,14,14,0,0,0,0,0,0
1,108,15,15,0,0,0,0,0,0
1,108,17,17,0,0,0,0,0,0
1,108,18,18,0,0,0,0,0,0
1,108,19,19,0,0,0,0,0,0
1,108,21,21,0,1.96e+06,0,0,0,0
1,108,22,22,0,0,0,0,0,0
1,108,23,23,0,0,0,0,0,0
1,108,24,24,0,0,0,0,0,0
1,108,25,25,0,0,0,0,0,0
1,108,26,26,0,0,0,0,0,0
1,108,27,27,0,0,0,0,0,0
1,108,28,28,0,0,0,0,0,0
1,108,29,29,0,0,0,0,0,0
1,108,30,30,0,0,0,0,0,0
1,108,31,31,0,0,0,0,0,0
1,108,32,32,0,0,0,0,0,0
1,108,33,33,0,0,0,0,0,0
1,108,34,34,0,1.937e+06,0,0,0,0
1,108,35,35,0,0,0,0,0,0
1,108,36,36,0,0,0,0,0,0
1,108,37,37,0,2.0761e+06,0,0,0,0
1,108,base,base,0,0,0,0,0,0
2,164,0,0,0,0,0,0,0,0
2,164,1,1,0,0,0,0,0,0
2,164,2,2,0,0,0,0,0,0
2,164,3,3,0,0,0,0,0,0
2,164,5,5,0,0,0,0,0,0
2,164,6,6,0,0,0,0,0,0
2,164,7,7,0,0,0,0,0,0
2,164,8,8,0,0,0,0,0,0
2,164,9,9,0,0,0,0,0,0
2,164,10,10,0,0,0,0,0,0
2,164,11,11,0,0,0,0,0,0
2,164,12,12,0,52900,0,0,0,0
2,164,13,13,0,0,0,0,0,0
2,164,14,14,0,0,0,0,0,0
2,164,15,15,0,0,0,0,0,0
2,164,17,17,0,0,0,0,0,0
2,164,18,18,0,0,0,0,0,0
2,164,19,19,0,0,0,0,0,0
2,164,22,22,0,0,0,0,0,0
2,164,23,23,0,0,0,0,0,0
2,164,24,24,0,0,0,0,0,0
2,164,25,25,0,0,0,0,0,0
2,164,26,26,0,0,0,0,0,0
2,164,27,27,0,0,0,0,0,0
2,164,28,28,0,0,0,0,0,0
2,164,29,29,0,0,0,0,0,0
2,164,30,30,0,0,0,0,0,0
2,164,31,31,0,0,0,0,0,0
2,164,32,32,0,0,0,0,0,0
2,164,33,33,0,0,0,0,0,0
2,164,35,35,0,0,0,0,0,0
2,164,36,36,0,0,0,0,0,0
2,164,base,base,0,0,0,0,0,0
3,217,0,0,0,0,0,0,0,0
3,217,1,1,0,0,0,0,0,0
3,217,2,2,0,0,0,0,0,0
3,217,3,3,0,0,0,0,0,0
3,217,5,5,0,0,0,0,0,0
3,217,6,6,0,0,0,0,0,0
3,217,7,7,0,0,0,0,0,0
3,217,8,8,0,0,0,0,0,0
3,217,9,9,0,0,0,0,0,0
3,217,10,10,0,0,0,0,0,0
3,217,11,11,0,0,0,0,0,0
3,217,13,13,0,0,0,0,0,0
3,217,14,14,0,0,0,0,0,0
3,217,15,15,0,0,0,0,0,0
3,217,17,17,0,0,0,0,0,0
3,217,18,18,0,0,0,0,0,0
3,217,19,19,0,0,0,0,0,0
3,217,22,22,0,0,0,0,0,0
3,217,23,23,0,0,0,0,0,0
3,217,24,24,0,0,0,0,0,0
3,217,25,25,0,0,0,0,0,0
3,217,26,26,0,0,0,0,0,0
3,217,27,27,0,0,0,0,0,0
3,217,28,28,0,0,0,0,0,0
3,217,29,29,0,0,0,0,0,0
3,217,30,30,0,0,0,0,0,0
3,217,31,31,0,0,0,0,0,0
3,217,32,32,0,0,0,0,0,0
3,217,33,33,0,0,0,0,0,0
3,217,35,35,0,0,0,0,0,0
3,217,36,36,0,0,0,0,0,0
3,217,base,base,0,0,0,0,0,0
iteration,total_runs,obs_realization,par_realization,head,less_obs,extra_sfr,less_pi,greater_pi,obj_func
0,315,0,0,0,0,0,0,0,0
0,315,1,1,0,0,0,0,0,0
0,315,2,2,0,0,0,0,0,0
0,315,3,3,0,0,0,0,0,0
0,315,5,5,0,0,0,0,0,0
0,315,6,6,0,0,0,0,0,0
0,315,7,7,0,0,0,0,0,0
0,315,8,8,0,0,0,0,0,0
0,315,9,9,0,0,0,0,0,0
0,315,10,10,0,0,0,0,0,0
0,315,11,11,0,0,0,0,0,0
0,315,12,12,0,435600,0,0,0,0
0,315,13,13,0,0,0,0,0,0
0,315,14,14,0,0,0,0,0,0
0,315,15,15,0,0,0,0,0,0
0,315,17,17,0,0,0,0,0,0
0,315,18,18,0,0,0,0,0,0
0,315,19,19,0,0,0,0,0,0
0,315,20,20,0,8.66484e+07,0,0,0,0
0,315,21,21,0,4.41e+06,0,0,0,0
0,315,22,22,0,0,0,0,0,0
0,315,23,23,0,0,0,0,0,0
0,315,24,24,0,0,0,0,0,0
0,315,25,25,0,0,0,0,0,0
0,315,26,26,0,0,0,0,0,0
0,315,27,27,0,0,0,0,0,0
0,315,28,28,0,0,0,0,0,0
0,315,29,29,0,0,0,0,0,0
0,315,30,30,0,0,0,0,0,0
0,315,31,31,0,0,0,0,0,0
0,315,32,32,0,0,0,0,0,0
0,315,33,33,0,0,0,0,0,0
0,315,34,34,0,3.4289e+06,0,0,0,0
0,315,35,35,0,0,0,0,0,0
0,315,36,36,0,0,0,0,0,0
0,315,37,37,0,7.4579e+06,0,0,0,0
0,315,base,base,0,0,0,0,0,0
1,372,0,0,0,0,0,0,0,0
1,372,1,1,0,0,0,0,0,0
1,372,2,2,0,0,0,0,0,0
1,372,3,3,0,0,0,0,0,0
1,372,5,5,0,0,0,0,0,0
1,372,6,6,0,0,0,0,0,0
1,372,7,7,0,0,0,0,0,0
1,372,8,8,0,0,0,0,0,0
1,372,9,9,0,0,0,0,0,0
1,372,10,10,0,0,0,0,0,0
1,372,11,11,0,0,0,0,0,0
1,372,12,12,0,160000,0,0,0,0
1,372,13,13,0,0,0,0,0,0
1,372,14,14,0,0,0,0,0,0
1,372,15,15,0,0,0,0,0,0
1,372,17,17,0,0,0,0,0,0
1,372,18,18,0,0,0,0,0,0
1,372,19,19,0,0,0,0,0,0
1,372,21,21,0,1.96e+06,0,0,0,0
1,372,22,22,0,0,0,0,0,0
1,372,23,23,0,0,0,0,0,0
1,372,24,24,0,0,0,0,0,0
1,372,25,25,0,0,0,0,0,0
1,372,26,26,0,0,0,0,0,0
1,372,27,27,0,0,0,0,0,0
1,372,28,28,0,0,0,0,0,0
1,372,29,29,0,0,0,0,0,0
1,372,30,30,0,0,0,0,0,0
1,372,31,31,0,0,0,0,0,0
1,372,32,32,0,0,0,0,0,0
1,372,33,33,0,0,0,0,0,0
1,372,34,34,0,1.937e+06,0,0,0,0
1,372,35,35,0,0,0,0,0,0
1,372,36,36,0,0,0,0,0,0
1,372,37,37,0,2.0761e+06,0,0,0,0
1,372,base,base,0,0,0,0,0,0
2,428,0,0,0,0,0,0,0,0
2,428,1,1,0,0,0,0,0,0
2,428,2,2,0,0,0,0,0,0
2,428,3,3,0,0,0,0,0,0
2,428,5,5,0,0,0,0,0,0
2,428,6,6,0,0,0,0,0,0
2,428,7,7,0,0,0,0,0,0
2,428,8,8,0,0,0,0,0,0
2,428,9,9,0,0,0,0,0,0
2,428,10,10,0,0,0,0,0,0
2,428,11,11,0,0,0,0,0,0
2,428,12,12,0,52900,0,0,0,0
2,428,13,13,0,0,0,0,0,0
2,428,14,14,0,0,0,0,0,0
2,428,15,15,0,0,0,0,0,0
2,428,17,17,0,0,0,0,0,0
2,428,18,18,0,0,0,0,0,0
2,428,19,19,0,0,0,0,0,0
2,428,22,22,0,0,0,0,0,0
2,428,23,23,0,0,0,0,0,0
2,428,24,24,0,0,0,0,0,0
2,428,25,25,0,0,0,0,0,0
2,428,26,26,0,0,0,0,0,0
2,428,27,27,0,0,0,0,0,0
2,428,28,28,0,0,0,0,0,0
2,428,29,29,0,0,0,0,0,0
2,428,30,30,0,0,0,0,0,0
2,428,31,31,0,0,0,0,0,0
2,428,32,32,0,0,0,0,0,0
2,428,33,33,0,0,0,0,0,0
2,428,35,35,0,0,0,0,0,0
2,428,36,36,0,0,0,0,0,0
2,428,base,base,0,0,0,0,0,0
3,481,0,0,0,0,0,0,0,0
