iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,4,100000,2.76705e+06,1.42514e+07,0.5,10000,0,0
1,4,100000,2.76705e+06,1.42514e+07,1,10000,0,0
1,4,100000,2.76705e+06,1.42514e+07,0.5,100000,0,0
1,4,100000,2.76705e+06,1.42514e+07,1,100000,0,0
1,4,100000,2.76705e+06,1.42514e+07,0.5,1e+06,0,0
1,4,100000,2.76705e+06,1.42514e+07,1,1e+06,0,0
2,4,7500,170364,557661,0.5,750,0,0
2,4,7500,170364,557661,1,750,0,0
2,4,7500,170364,557661,0.5,7500,0,0
2,4,7500,170364,557661,1,7500,0,0
2,4,7500,170364,557661,0.5,75000,0,0
2,4,7500,170364,557661,1,75000,0,0
3,4,562.5,1603.03,9208.71,0.5,56.25,0,0
3,4,562.5,1603.03,9208.71,1,56.25,0,0
3,4,562.5,1603.03,9208.71,0.5,562.5,0,0
3,4,562.5,1603.03,9208.71,1,562.5,0,0
3,4,562.5,1603.03,9208.71,0.5,5625,0,0
3,4,562.5,1603.03,9208.71,1,5625,0,0
iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,4,100000,2.76705e+06,1.42514e+07,0.5,10000,0,0
1,4,100000,2.76705e+06,1.42514e+07,1,10000,0,0
1,4,100000,2.76705e+06,1.42514e+07,0.5,100000,0,0
1,4,100000,2.76705e+06,1.42514e+07,1,100000,0,0
1,4,100000,2.76705e+06,1.42514e+07,0.5,1e+06,0,0
1,4,100000,2.76705e+06,1.42514e+07,1,1e+06,0,0
2,4,7500,170364,557661,0.5,750,0,0
2,4,7500,170364,557661,1,750,0,0
2,4,7500,170364,557661,0.5,7500,0,0
2,4,7500,170364,557661,1,7500,0,0
2,4,7500,170364,557661,0.5,75000,0,0
2,4,7500,170364,557661,1,75000,0,0
3,4,562.5,1603.03,9208.71,0.5,56.25,0,0
3,4,562.5,1603.03,9208.71,1,56.25,0,0
3,4,562.5,1603.03,9208.71,0.5,562.5,0,0
3,4,562.5,1603.03,9208.71,1,562.5,0,0
3,4,562.5,1603.03,9208.71,0.5,5625,0,0
3,4,562.5,1603.03,9208.71,1,5625,0,0
