segrech 01 02 03 04 05 06 07 08 09 10 11 12
s1r01 0.0 0.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 10.0 0.0
s1r02 10.0 0.0 10.0 10.0 10.0 0.0 10.0 0.0 10.0 0.0 10.0 0.0
s1r03 10.0 10.0 20.0 10.0 10.0 0.0 20.0 0.0 10.0 0.0 20.0 0.0
s1r04 20.0 0.0 40.0 0.0 10.0 0.0 30.0 10.0 10.0 0.0 30.0 10.0
s1r05 30.0 10.0 50.0 10.0 30.0 0.0 40.0 10.0 30.0 0.0 40.0 10.0
s1r06 40.0 0.0 60.0 10.0 40.0 0.0 70.0 10.0 40.0 0.0 70.0 10.0
s1r07 50.0 10.0 90.0 10.0 50.0 10.0 90.0 10.0 50.0 10.0 90.0 10.0
s1r08 70.0 10.0 130.0 10.0 80.0 10.0 130.0 10.0 80.0 10.0 130.0 10.0
s1r09 110.0 10.0 180.0 20.0 110.0 10.0 180.0 20.0 110.0 10.0 180.0 20.0
s1r10 150.0 20.0 270.0 30.0 150.0 10.0 270.0 30.0 150.0 10.0 270.0 30.0
s1r11 240.0 20.0 420.0 40.0 240.0 20.0 420.0 30.0 240.0 20.0 420.0 30.0
s1r12 430.0 30.0 760.0 50.0 440.0 30.0 760.0 50.0 440.0 30.0 760.0 50.0
s1r13 700.0 30.0 1240.0 70.0 720.0 40.0 1230.0 70.0 720.0 40.0 1230.0 70.0
s1r14 1040.0 50.0 1820.0 90.0 1040.0 50.0 1820.0 90.0 1040.0 50.0 1820.0 90.0
s1r15 1350.0 60.0 2350.0 100.0 1350.0 60.0 2360.0 100.0 1350.0 60.0 2360.0 100.0
s1r16 1540.0 60.0 2670.0 110.0 1540.0 70.0 2670.0 110.0 1540.0 70.0 2670.0 110.0
s1r17 1730.0 80.0 3030.0 130.0 1750.0 70.0 3030.0 130.0 1750.0 70.0 3030.0 130.0
s1r18 1920.0 80.0 3350.0 140.0 1930.0 80.0 3350.0 140.0 1930.0 80.0 3350.0 140.0
s1r19 2070.0 80.0 3610.0 150.0 2080.0 80.0 3620.0 150.0 2080.0 80.0 3620.0 150.0
s1r20 2300.0 90.0 4010.0 170.0 2310.0 90.0 4020.0 160.0 2310.0 90.0 4020.0 160.0
s1r21 2530.0 100.0 4420.0 180.0 2540.0 100.0 4420.0 190.0 2540.0 100.0 4420.0 190.0
s1r22 2570.0 100.0 4490.0 190.0 2580.0 110.0 4490.0 190.0 2580.0 110.0 4490.0 190.0
s2r01 2.0 0.0 3.0 2.0 2.0 0.0 3.0 2.0 2.0 0.0 3.0 2.0
s2r02 10.0 0.0 10.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 10.0 0.0
s2r03 0.0 10.0 10.0 10.0 0.0 0.0 10.0 10.0 0.0 0.0 10.0 10.0
s2r04 10.0 0.0 20.0 10.0 10.0 0.0 10.0 10.0 10.0 0.0 10.0 10.0
s2r05 10.0 0.0 20.0 20.0 20.0 10.0 20.0 10.0 20.0 10.0 20.0 10.0
s2r06 30.0 0.0 40.0 30.0 20.0 0.0 40.0 30.0 20.0 0.0 40.0 30.0
s2r07 30.0 0.0 70.0 50.0 40.0 0.0 70.0 50.0 40.0 0.0 70.0 50.0
s2r08 70.0 10.0 120.0 60.0 70.0 10.0 120.0 70.0 70.0 10.0 120.0 70.0
s2r09 130.0 10.0 220.0 70.0 130.0 10.0 220.0 80.0 130.0 10.0 220.0 80.0
s3r01 2700.0 100.0 4800.0 300.0 2700.0 100.0 4800.0 200.0 2700.0 100.0 4800.0 200.0
s3r02 2900.0 100.0 5000.0 300.0 2900.0 200.0 5000.0 300.0 2900.0 200.0 5000.0 300.0
s3r03 2900.0 100.0 5100.0 300.0 2900.0 100.0 5100.0 300.0 2900.0 100.0 5100.0 300.0
s3r04 2900.0 100.0 5200.0 400.0 3000.0 100.0 5100.0 400.0 3000.0 100.0 5100.0 400.0
s3r05 3000.0 100.0 5200.0 400.0 2900.0 100.0 5200.0 400.0 2900.0 100.0 5200.0 400.0
s3r06 3000.0 100.0 5200.0 400.0 3000.0 100.0 5200.0 400.0 3000.0 100.0 5200.0 400.0
s3r07 3000.0 100.0 5300.0 500.0 3000.0 100.0 5300.0 500.0 3000.0 100.0 5300.0 500.0
s3r08 3000.0 100.0 5300.0 400.0 3000.0 200.0 5300.0 500.0 3000.0 200.0 5300.0 500.0
s3r09 3000.0 200.0 5300.0 400.0 3000.0 100.0 5300.0 400.0 3000.0 100.0 5300.0 400.0
