segrech,01,02,03,04,05,06,07,08,09,10,11,12
s1r01,131700.0,128560.0,127530.0,127910.0,127710.0,128360.0,127510.0,127910.0,127710.0,128360.0,127510.0,127910.0
s1r02,173860.0,167020.0,164740.0,165580.0,165140.0,166580.0,164710.0,165580.0,165140.0,166580.0,164710.0,165580.0
s1r03,211570.0,200920.0,197440.0,198730.0,198050.0,200260.0,197390.0,198730.0,198050.0,200260.0,197390.0,198730.0
s1r04,248320.0,234020.0,229370.0,231120.0,230210.0,233150.0,229320.0,231110.0,230210.0,233150.0,229320.0,231110.0
s1r05,286010.0,268530.0,262860.0,265010.0,263890.0,267500.0,262800.0,265010.0,263890.0,267500.0,262800.0,265010.0
s1r06,318970.0,298710.0,292130.0,294640.0,293330.0,297530.0,292050.0,294630.0,293330.0,297530.0,292050.0,294630.0
s1r07,351760.0,328710.0,321220.0,324100.0,322600.0,327380.0,321140.0,324090.0,322600.0,327380.0,321140.0,324090.0
s1r08,384760.0,358910.0,350500.0,353760.0,352060.0,357430.0,350410.0,353750.0,352060.0,357430.0,350410.0,353750.0
s1r09,417850.0,389220.0,379870.0,383510.0,381610.0,387580.0,379770.0,383500.0,381610.0,387580.0,379770.0,383500.0
s1r10,450980.0,419560.0,409250.0,413310.0,411200.0,417780.0,409140.0,413300.0,411200.0,417780.0,409140.0,413300.0
s1r11,484740.0,450550.0,439200.0,443740.0,441370.0,448610.0,439080.0,443740.0,441370.0,448610.0,439080.0,443740.0
s1r12,524510.0,487200.0,474480.0,479750.0,476990.0,485090.0,474350.0,479740.0,476990.0,485090.0,474350.0,479740.0
s1r13,563590.0,522700.0,508340.0,514520.0,511270.0,520380.0,508210.0,514510.0,511270.0,520380.0,508210.0,514510.0
s1r14,603430.0,558820.0,542690.0,549880.0,546090.0,556280.0,542540.0,549870.0,546090.0,556280.0,542540.0,549870.0
s1r15,645480.0,597160.0,579310.0,587470.0,583150.0,594400.0,579140.0,587460.0,583150.0,594400.0,579140.0,587460.0
s1r16,693370.0,641520.0,622190.0,631090.0,626370.0,638530.0,622010.0,631080.0,626370.0,638530.0,622010.0,631080.0
s1r17,730990.0,676230.0,655630.0,665220.0,660130.0,673090.0,655440.0,665210.0,660130.0,673090.0,655440.0,665210.0
s1r18,766870.0,709300.0,687500.0,697740.0,692300.0,706000.0,687300.0,697730.0,692300.0,706000.0,687300.0,697730.0
s1r19,807230.0,746500.0,723490.0,734350.0,728580.0,743040.0,723280.0,734340.0,728580.0,743040.0,723280.0,734340.0
s1r20,837710.0,773960.0,749670.0,761270.0,755100.0,770360.0,749450.0,761260.0,755100.0,770360.0,749450.0,761260.0
s1r21,860540.0,794250.0,768810.0,781100.0,774560.0,790540.0,768590.0,781080.0,774560.0,790540.0,768590.0,781080.0
s1r22,863480.0,796190.0,770410.0,782880.0,776250.0,792440.0,770200.0,782860.0,776250.0,792440.0,770200.0,782860.0
s2r01,79677.0,77026.0,76356.0,76635.0,76494.0,76941.0,76353.0,76635.0,76494.0,76941.0,76353.0,76635.0
s2r02,111790.0,106520.0,105180.0,105740.0,105460.0,106350.0,105170.0,105740.0,105460.0,106350.0,105170.0,105740.0
s2r03,148240.0,140320.0,138290.0,139130.0,138710.0,140060.0,138280.0,139130.0,138710.0,140060.0,138280.0,139130.0
s2r04,199320.0,188380.0,185480.0,186680.0,186070.0,188000.0,185470.0,186680.0,186070.0,188000.0,185470.0,186680.0
s2r05,236820.0,222440.0,218650.0,220210.0,219420.0,221930.0,218630.0,220210.0,219420.0,221930.0,218630.0,220210.0
s2r06,265930.0,248150.0,243480.0,245390.0,244430.0,247520.0,243450.0,245390.0,244430.0,247520.0,243450.0,245390.0
s2r07,288100.0,267230.0,261770.0,264000.0,262880.0,266490.0,261740.0,264000.0,262880.0,266490.0,261740.0,264000.0
s2r08,304220.0,280860.0,274740.0,277260.0,276000.0,280040.0,274700.0,277250.0,276000.0,280040.0,274700.0,277250.0
s2r09,313060.0,288530.0,281970.0,284720.0,283340.0,287660.0,281930.0,284710.0,283340.0,287660.0,281930.0,284710.0
s3r01,1193100.0,1100300.0,1067600.0,1083000.0,1074900.0,1095600.0,1067300.0,1083000.0,1074900.0,1095600.0,1067300.0,1083000.0
s3r02,1219700.0,1124500.0,1090900.0,1106800.0,1098400.0,1119700.0,1090700.0,1106800.0,1098400.0,1119700.0,1090700.0,1106800.0
s3r03,1242100.0,1144700.0,1110400.0,1126600.0,1118100.0,1139800.0,1110100.0,1126600.0,1118100.0,1139800.0,1110100.0,1126600.0
s3r04,1264200.0,1164400.0,1129500.0,1145900.0,1137300.0,1159500.0,1129300.0,1145900.0,1137300.0,1159500.0,1129300.0,1145900.0
s3r05,1289700.0,1187000.0,1151400.0,1168100.0,1159400.0,1182000.0,1151100.0,1168100.0,1159400.0,1182000.0,1151100.0,1168100.0
s3r06,1322900.0,1216800.0,1180400.0,1197400.0,1188500.0,1211700.0,1180100.0,1197400.0,1188500.0,1211700.0,1180100.0,1197400.0
s3r07,1363200.0,1253700.0,1216400.0,1233800.0,1224800.0,1248500.0,1216100.0,1233800.0,1224800.0,1248500.0,1216100.0,1233800.0
s3r08,1413900.0,1301600.0,1263500.0,1281300.0,1272000.0,1296200.0,1263200.0,1281200.0,1272000.0,1296200.0,1263200.0,1281200.0
s3r09,1460600.0,1345700.0,1307000.0,1325100.0,1315700.0,1340400.0,1306700.0,1325100.0,1315700.0,1340400.0,1306700.0,1325100.0
