segrech,01,02,03,04,05,06,07,08,09,10,11,12
s1r01,131570.0,128420.0,127370.0,127780.0,127570.0,128220.0,127360.0,127780.0,127570.0,128220.0,127360.0,127780.0
s1r02,173540.0,166670.0,164360.0,165260.0,164790.0,166230.0,164330.0,165260.0,164790.0,166230.0,164330.0,165260.0
s1r03,211050.0,200360.0,196830.0,198230.0,197480.0,199690.0,196780.0,198220.0,197480.0,199690.0,196780.0,198220.0
s1r04,247600.0,233240.0,228530.0,230430.0,229420.0,232370.0,228470.0,230420.0,229420.0,232370.0,228470.0,230420.0
s1r05,285120.0,267580.0,261800.0,264190.0,262920.0,266540.0,261730.0,264190.0,262920.0,266540.0,261730.0,264190.0
s1r06,317850.0,297520.0,290790.0,293650.0,292120.0,296330.0,290710.0,293640.0,292120.0,296330.0,290710.0,293640.0
s1r07,350330.0,327210.0,319510.0,322870.0,321070.0,325870.0,319430.0,322870.0,321070.0,325870.0,319430.0,322870.0
s1r08,382910.0,357000.0,348290.0,352220.0,350090.0,355510.0,348200.0,352220.0,350090.0,355510.0,348200.0,352220.0
s1r09,415440.0,386750.0,376980.0,381600.0,379070.0,385100.0,376880.0,381590.0,379070.0,385100.0,376880.0,381590.0
s1r10,447830.0,416380.0,405450.0,410960.0,407890.0,414580.0,405340.0,410950.0,407890.0,414580.0,405340.0,410950.0
s1r11,480580.0,446410.0,434110.0,440920.0,437040.0,444460.0,434000.0,440910.0,437040.0,444460.0,434000.0,440910.0
s1r12,518610.0,481490.0,467060.0,476460.0,470890.0,479370.0,466930.0,476450.0,470890.0,479370.0,466930.0,476450.0
s1r13,555110.0,514670.0,497520.0,510490.0,502570.0,512340.0,497380.0,510480.0,502570.0,512340.0,497380.0,510480.0
s1r14,591920.0,548100.0,527840.0,545070.0,534320.0,545540.0,527690.0,545060.0,534320.0,545540.0,527690.0,545060.0
s1r15,631220.0,584000.0,560790.0,581980.0,568600.0,581220.0,560620.0,581970.0,568600.0,581220.0,560620.0,581970.0
s1r16,677440.0,626840.0,601450.0,625100.0,610120.0,623840.0,601270.0,625090.0,610120.0,623840.0,601270.0,625090.0
s1r17,713410.0,660120.0,632640.0,658940.0,642220.0,656950.0,632450.0,658930.0,642220.0,656950.0,632450.0,658930.0
s1r18,747830.0,691910.0,662490.0,691210.0,672910.0,688590.0,662290.0,691190.0,672910.0,688590.0,662290.0,691190.0
s1r19,787050.0,728110.0,696900.0,727510.0,708040.0,724620.0,696700.0,727500.0,708040.0,724620.0,696700.0,727500.0
s1r20,815820.0,754070.0,720680.0,754020.0,732830.0,750450.0,720470.0,754010.0,732830.0,750450.0,720470.0,754010.0
s1r21,836970.0,772890.0,737470.0,773350.0,750600.0,769150.0,737250.0,773330.0,750600.0,769150.0,737250.0,773330.0
s1r22,839620.0,774510.0,738660.0,774290.0,751980.0,770730.0,738440.0,774280.0,751980.0,770730.0,738440.0,774280.0
s2r01,79661.0,76970.0,76331.0,76119.0,76456.0,76884.0,76328.0,76119.0,76456.0,76884.0,76328.0,76119.0
s2r02,111760.0,106410.0,105130.0,104680.0,105380.0,106230.0,105120.0,104680.0,105380.0,106230.0,105120.0,104680.0
s2r03,148180.0,140140.0,138210.0,137490.0,138590.0,139880.0,138200.0,137490.0,138590.0,139880.0,138200.0,137490.0
s2r04,199230.0,188110.0,185350.0,184390.0,185890.0,187730.0,185330.0,184390.0,185890.0,187730.0,185330.0,184390.0
s2r05,236670.0,222010.0,218430.0,216450.0,219150.0,221500.0,218410.0,216450.0,219150.0,221500.0,218410.0,216450.0
s2r06,265710.0,247400.0,243150.0,238670.0,244030.0,246770.0,243120.0,238670.0,244030.0,246770.0,243120.0,238670.0
s2r07,287740.0,266020.0,261260.0,252860.0,262300.0,265280.0,261230.0,252860.0,262300.0,265280.0,261230.0,252860.0
s2r08,303630.0,279170.0,273900.0,262430.0,275140.0,278340.0,273870.0,262430.0,275140.0,278340.0,273870.0,262430.0
s2r09,312020.0,286380.0,280480.0,269210.0,282010.0,285500.0,280440.0,269210.0,282010.0,285500.0,280440.0,269210.0
s3r01,1167900.0,1076100.0,1033900.0,1058100.0,1048900.0,1071400.0,1033600.0,1058100.0,1048900.0,1071400.0,1033600.0,1058100.0
s3r02,1193700.0,1099400.0,1056000.0,1079600.0,1071600.0,1094600.0,1055700.0,1079600.0,1071600.0,1094600.0,1055700.0,1079600.0
s3r03,1215600.0,1118800.0,1074900.0,1093900.0,1090800.0,1113900.0,1074700.0,1093900.0,1090800.0,1113900.0,1074700.0,1093900.0
s3r04,1237500.0,1137400.0,1093700.0,1101700.0,1109800.0,1132500.0,1093500.0,1101600.0,1109800.0,1132500.0,1093500.0,1101600.0
s3r05,1262900.0,1159300.0,1115400.0,1117200.0,1131600.0,1154300.0,1115100.0,1117100.0,1131600.0,1154300.0,1115100.0,1117100.0
s3r06,1295900.0,1188800.0,1144100.0,1144300.0,1160600.0,1183700.0,1143800.0,1144300.0,1160600.0,1183700.0,1143800.0,1144300.0
s3r07,1336000.0,1225500.0,1179900.0,1179700.0,1196600.0,1220300.0,1179600.0,1179700.0,1196600.0,1220300.0,1179600.0,1179700.0
s3r08,1386600.0,1273200.0,1226800.0,1226700.0,1243700.0,1267900.0,1226500.0,1226600.0,1243700.0,1267900.0,1226500.0,1226600.0
s3r09,1433200.0,1317300.0,1270200.0,1270100.0,1287300.0,1311900.0,1269900.0,1270000.0,1287300.0,1311900.0,1269900.0,1270000.0
