real_name,pi_const1,pi_const2,pi_const3,pi_const4,pi_const5,pi_const6,pi_const7,pi_const8,pi_const9,pi_const10,pi_const11,pi_const12,pi_const13,pi_const14,pi_const15,pi_const16,pi_const17,pi_const18,pi_const19,pi_const20,pi_const21,pi_const22,pi_const23,pi_const24
gen=1_member=100_pso,42827.569287037476897,42827.569287037476897,64975.054883398115635,64975.054883398115635,34578.591843601316214,34578.591843601316214,39273.153509711846709,39273.153509711846709,42827.569287037476897,42827.569287037476897,64975.054883398115635,64975.054883398115635,34578.591843601316214,34578.591843601316214,39273.153509711846709,39273.153509711846709,139143.42186297290027,139143.42186297290027,491631.47585466504097,491631.47585466504097,286058.12581023201346,286058.12581023201346,216823.01190099678934,216823.01190099678934
gen=1_member=101_pso,40756.826155488372024,40756.826155488372024,41510.393080807574734,41510.393080807574734,52760.81897049525287,52760.81897049525287,63715.003856365568936,63715.003856365568936,40756.826155488372024,40756.826155488372024,41510.393080807574734,41510.393080807574734,52760.81897049525287,52760.81897049525287,63715.003856365568936,63715.003856365568936,164885.79711888119346,164885.79711888119346,571058.34539384581149,571058.34539384581149,482039.11421457945835,482039.11421457945835,78034.97226498182863,78034.97226498182863
gen=1_member=102_pso,79465.5553765570221,79465.5553765570221,74856.624231954134302,74856.624231954134302,73168.345358467922779,73168.345358467922779,104864.87378317807452,104864.87378317807452,79465.5553765570221,79465.5553765570221,74856.624231954134302,74856.624231954134302,73168.345358467922779,73168.345358467922779,104864.87378317807452,104864.87378317807452,168081.26617613452254,168081.26617613452254,74856.624231954134302,74856.624231954134302,539206.08959597093053,539206.08959597093053,302703.54442436713725,302703.54442436713725
gen=1_member=103_pso,46400.752433625326375,46400.752433625326375,60939.669941090018256,60939.669941090018256,56669.578029570868239,56669.578029570868239,73479.4078475330316,73479.4078475330316,46400.752433625326375,46400.752433625326375,60939.669941090018256,60939.669941090018256,56669.578029570868239,56669.578029570868239,73479.4078475330316,73479.4078475330316,335751.19086957711261,335751.19086957711261,723549.27912262978498,723549.27912262978498,466647.20872606500052,466647.20872606500052,218179.38127382830135,218179.38127382830135
gen=1_member=104_pso,37543.075387489938294,37543.075387489938294,58854.880159869040654,58854.880159869040654,69874.763979017487145,69874.763979017487145,71687.442793973736116,71687.442793973736116,37543.075387489938294,37543.075387489938294,58854.880159869040654,58854.880159869040654,69874.763979017487145,69874.763979017487145,71687.442793973736116,71687.442793973736116,595679.20083814999089,595679.20083814999089,587312.85022293124348,587312.85022293124348,600568.43746076000389,600568.43746076000389,358438.55386866047047,358438.55386866047047
gen=1_member=105_pso,41400.744478127380717,41400.744478127380717,78728.984287895815214,78728.984287895815214,39737.487093167874264,39737.487093167874264,69017.029086742171785,69017.029086742171785,41400.744478127380717,41400.744478127380717,78728.984287895815214,78728.984287895815214,39737.487093167874264,39737.487093167874264,69017.029086742171785,69017.029086742171785,272707.17117521096952,272707.17117521096952,184106.22945714637171,184106.22945714637171,536738.92648433812428,536738.92648433812428,69017.029086742171785,69017.029086742171785
gen=1_member=106_pso,72409.387565365832415,72409.387565365832415,105031.55944641538372,105031.55944641538372,86379.144265071619884,86379.144265071619884,86076.13420082902303,86076.13420082902303,72409.387565365832415,72409.387565365832415,105031.55944641538372,105031.55944641538372,86379.144265071619884,86379.144265071619884,86076.13420082902303,86076.13420082902303,451096.2177919667447,451096.2177919667447,242871.53560281207319,242871.53560281207319,700527.09085863362998,700527.09085863362998,405161.1376744438312,405161.1376744438312
gen=1_member=107_pso,44906.862522500945488,44906.862522500945488,67790.176306109409779,67790.176306109409779,72953.102330707362853,72953.102330707362853,38301.035572736771428,38301.035572736771428,44906.862522500945488,44906.862522500945488,67790.176306109409779,67790.176306109409779,72953.102330707362853,72953.102330707362853,38301.035572736771428,38301.035572736771428,162528.79474045787356,162528.79474045787356,300232.96603759855498,300232.96603759855498,72953.102330707362853,72953.102330707362853,38301.035572736771428,38301.035572736771428
gen=1_member=108_pso,48294.900738193813595,48294.900738193813595,56933.209359778018552,56933.209359778018552,35376.350859683137969,35376.350859683137969,40656.986219706435804,40656.986219706435804,48294.900738193813595,48294.900738193813595,56933.209359778018552,56933.209359778018552,35376.350859683137969,35376.350859683137969,40656.986219706435804,40656.986219706435804,289022.4978316622437,289022.4978316622437,610954.53090247744694,610954.53090247744694,633129.16448657843284,633129.16448657843284,300621.73990053829039,300621.73990053829039
gen=1_member=109_pso,50845.098261039645877,50845.098261039645877,57051.160773833100393,57051.160773833100393,61310.518231018999359,61310.518231018999359,28790.356183721261914,28790.356183721261914,50845.098261039645877,50845.098261039645877,57051.160773833100393,57051.160773833100393,61310.518231018999359,61310.518231018999359,28790.356183721261914,28790.356183721261914,63110.044889909913763,63110.044889909913763,97019.823611108527984,97019.823611108527984,61310.518231018999359,61310.518231018999359,28790.356183721261914,28790.356183721261914
