child,parent_1,parent_2,parent_3
GEN=1_MEMBER=100_PSO,GEN=0_MEMBER=72,,
GEN=1_MEMBER=101_PSO,GEN=0_MEMBER=71,,
GEN=1_MEMBER=102_PSO,GEN=0_MEMBER=52,,
GEN=1_MEMBER=103_PSO,GEN=0_MEMBER=89,,
GEN=1_MEMBER=104_PSO,GEN=0_MEMBER=63,,
GEN=1_MEMBER=105_PSO,GEN=0_MEMBER=32,,
GEN=1_MEMBER=106_PSO,GEN=0_MEMBER=73,,
GEN=1_MEMBER=107_PSO,GEN=0_MEMBER=82,,
GEN=1_MEMBER=108_PSO,GEN=0_MEMBER=51,,
GEN=1_MEMBER=109_PSO,GEN=0_MEMBER=48,,
GEN=1_MEMBER=110_PSO,GEN=0_MEMBER=12,,
GEN=1_MEMBER=111_PSO,GEN=0_MEMBER=61,,
GEN=1_MEMBER=112_PSO,GEN=0_MEMBER=79,,
GEN=1_MEMBER=113_PSO,GEN=0_MEMBER=49,,
GEN=1_MEMBER=114_PSO,GEN=0_MEMBER=40,,
GEN=1_MEMBER=115_PSO,GEN=0_MEMBER=55,,
GEN=1_MEMBER=116_PSO,GEN=0_MEMBER=11,,
GEN=1_MEMBER=117_PSO,GEN=0_MEMBER=38,,
GEN=1_MEMBER=118_PSO,GEN=0_MEMBER=2,,
GEN=1_MEMBER=119_PSO,GEN=0_MEMBER=54,,
GEN=1_MEMBER=120_PSO,GEN=0_MEMBER=62,,
GEN=1_MEMBER=121_PSO,GEN=0_MEMBER=64,,
GEN=1_MEMBER=122_PSO,GEN=0_MEMBER=58,,
GEN=1_MEMBER=123_PSO,GEN=0_MEMBER=30,,
GEN=1_MEMBER=124_PSO,GEN=0_MEMBER=23,,
GEN=1_MEMBER=125_PSO,GEN=0_MEMBER=13,,
GEN=1_MEMBER=126_PSO,GEN=0_MEMBER=25,,
GEN=1_MEMBER=127_PSO,GEN=0_MEMBER=46,,
GEN=1_MEMBER=128_PSO,GEN=0_MEMBER=24,,
GEN=1_MEMBER=129_PSO,GEN=0_MEMBER=88,,
GEN=1_MEMBER=130_PSO,GEN=0_MEMBER=18,,
GEN=1_MEMBER=131_PSO,GEN=0_MEMBER=0,,
GEN=1_MEMBER=132_PSO,GEN=0_MEMBER=96,,
GEN=1_MEMBER=133_PSO,GEN=0_MEMBER=27,,
GEN=1_MEMBER=134_PSO,GEN=0_MEMBER=4,,
GEN=1_MEMBER=135_PSO,GEN=0_MEMBER=22,,
GEN=1_MEMBER=136_PSO,GEN=0_MEMBER=35,,
GEN=1_MEMBER=137_PSO,GEN=0_MEMBER=70,,
GEN=1_MEMBER=138_PSO,GEN=0_MEMBER=93,,
GEN=1_MEMBER=139_PSO,GEN=0_MEMBER=57,,
GEN=1_MEMBER=140_PSO,GEN=0_MEMBER=39,,
GEN=1_MEMBER=141_PSO,GEN=0_MEMBER=36,,
GEN=1_MEMBER=142_PSO,GEN=0_MEMBER=20,,
GEN=1_MEMBER=143_PSO,GEN=0_MEMBER=75,,
GEN=1_MEMBER=144_PSO,GEN=0_MEMBER=56,,
GEN=1_MEMBER=145_PSO,GEN=0_MEMBER=45,,
GEN=1_MEMBER=146_PSO,GEN=0_MEMBER=68,,
GEN=1_MEMBER=147_PSO,GEN=0_MEMBER=99,,
GEN=1_MEMBER=148_PSO,GEN=0_MEMBER=60,,
GEN=1_MEMBER=149_PSO,GEN=0_MEMBER=78,,
GEN=1_MEMBER=150_PSO,GEN=0_MEMBER=14,,
GEN=1_MEMBER=151_PSO,GEN=0_MEMBER=17,,
GEN=1_MEMBER=152_PSO,GEN=0_MEMBER=95,,
GEN=1_MEMBER=153_PSO,GEN=0_MEMBER=19,,
GEN=1_MEMBER=154_PSO,GEN=0_MEMBER=16,,
GEN=1_MEMBER=155_PSO,GEN=0_MEMBER=65,,
GEN=1_MEMBER=156_PSO,GEN=0_MEMBER=90,,
GEN=1_MEMBER=157_PSO,GEN=0_MEMBER=34,,
GEN=1_MEMBER=158_PSO,GEN=0_MEMBER=1,,
GEN=1_MEMBER=159_PSO,GEN=0_MEMBER=8,,
GEN=1_MEMBER=160_PSO,GEN=0_MEMBER=47,,
