generation,member,pi_obj_func,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=0,-72730.2,31,-999,4544.37,4544,0,1.07085e+12
0,gen=0_member=1,-88197.5,58,-999,4355.51,4355,0,1.47177e+12
0,gen=0_member=2,-120900,18,-999,3059.27,3059,0,7.94408e+11
0,gen=0_member=3,-114983,72,-999,3354.58,3354,0,1.66581e+12
0,gen=0_member=4,-74711.4,34,-999,4485.38,4485,0,1.11037e+12
0,gen=0_member=5,-191756,80,-999,764.633,764,0,1.83341e+12
0,gen=0_member=6,-126109,77,-999,2934.59,2934,0,1.71702e+12
0,gen=0_member=7,-136180,86,-999,2322.68,2322,0,1.97945e+12
0,gen=0_member=8,-66722.9,59,-999,4625.51,4625,0,1.48048e+12
0,gen=0_member=9,-176103,98,-999,1034.95,1034,0,2.74732e+12
0,gen=0_member=10,-174741,74,-999,1122.58,1122,0,1.67056e+12
0,gen=0_member=11,4400.38,16,-999,4929.26,4929,0,7.66414e+11
0,gen=0_member=12,-51796.1,10,-999,4740.21,4740,0,5.98921e+11
0,gen=0_member=13,-42327,25,-999,4845.34,4845,0,9.79695e+11
0,gen=0_member=14,-135520,50,-999,2394.48,2394,0,1.39099e+12
0,gen=0_member=15,-157402,82,-999,1629.63,1629,0,1.83632e+12
0,gen=0_member=16,-92854.5,54,-999,4209.5,4209,0,1.45086e+12
0,gen=0_member=17,-151551,51,-999,1869.48,1869,0,1.40005e+12
0,gen=0_member=18,-96048.4,30,-999,4047.36,4047,0,1.03531e+12
0,gen=0_member=19,-134909,53,-999,2465.49,2465,0,1.42428e+12
0,gen=0_member=20,-32084.3,42,-999,4895.43,4895,0,1.25286e+12
0,gen=0_member=21,-119118,67,-999,3180.55,3180,0,1.58386e+12
0,gen=0_member=22,-71575.4,35,-999,4572.39,4572,0,1.12783e+12
0,gen=0_member=23,-113120,24,-999,3519.32,3519,0,9.38795e+11
