real_name,pi_const1,pi_const2,pi_const3,pi_const4,pi_const5,pi_const6,pi_const7,pi_const8,pi_const9,pi_const10,pi_const11,pi_const12,pi_const13,pi_const14,pi_const15,pi_const16,pi_const17,pi_const18,pi_const19,pi_const20,pi_const21,pi_const22,pi_const23,pi_const24
gen=3_member=300_pso,49343.792798335751286,49343.792798335751286,56684.494077103379823,56684.494077103379823,53630.751581063108461,53630.751581063108461,72477.748635585885495,72477.748635585885495,49343.792798335751286,49343.792798335751286,56684.494077103379823,56684.494077103379823,53630.751581063108461,53630.751581063108461,72477.748635585885495,72477.748635585885495,61606.656534719862975,61606.656534719862975,56684.494077103379823,56684.494077103379823,269012.86554416193394,269012.86554416193394,72477.748635585885495,72477.748635585885495
gen=3_member=301_pso,50000,50000,47704.712051414404414,47704.712051414404414,37727.93671366891067,37727.93671366891067,40796.144685165847477,40796.144685165847477,50000,50000,47704.712051414404414,47704.712051414404414,37727.93671366891067,37727.93671366891067,40796.144685165847477,40796.144685165847477,50000,50000,47704.712051414404414,47704.712051414404414,37727.93671366891067,37727.93671366891067,40796.144685165847477,40796.144685165847477
gen=3_member=302_pso,44616.288636557088466,44616.288636557088466,51728.741525240649935,51728.741525240649935,50000,50000,51284.624101753564901,51284.624101753564901,44616.288636557088466,44616.288636557088466,51728.741525240649935,51728.741525240649935,50000,50000,51284.624101753564901,51284.624101753564901,44616.288636557088466,44616.288636557088466,51728.741525240649935,51728.741525240649935,336298.94339388533263,336298.94339388533263,51284.624101753564901,51284.624101753564901
gen=3_member=303_pso,50000,50000,52099.206025627972849,52099.206025627972849,46556.001673881612078,46556.001673881612078,41690.380723885493353,41690.380723885493353,50000,50000,52099.206025627972849,52099.206025627972849,46556.001673881612078,46556.001673881612078,41690.380723885493353,41690.380723885493353,50000,50000,264956.48705026006792,264956.48705026006792,46556.001673881612078,46556.001673881612078,41690.380723885493353,41690.380723885493353
gen=3_member=304_pso,42338.543188594165258,42338.543188594165258,66410.143335841072258,66410.143335841072258,60705.390884510306932,60705.390884510306932,56559.333048448039335,56559.333048448039335,42338.543188594165258,42338.543188594165258,66410.143335841072258,66410.143335841072258,60705.390884510306932,60705.390884510306932,56559.333048448039335,56559.333048448039335,42338.543188594165258,42338.543188594165258,308822.84885093697812,308822.84885093697812,60705.390884510306932,60705.390884510306932,56559.333048448039335,56559.333048448039335
gen=3_member=305_pso,42971.564407704579935,42971.564407704579935,59640.34906440373743,59640.34906440373743,59744.691071357061446,59744.691071357061446,59744.691071357061446,59744.691071357061446,42971.564407704579935,42971.564407704579935,59640.34906440373743,59640.34906440373743,59744.691071357061446,59744.691071357061446,59744.691071357061446,59744.691071357061446,42971.564407704579935,42971.564407704579935,183242.21388892378309,183242.21388892378309,372797.68055013840785,372797.68055013840785,59744.691071357061446,59744.691071357061446
gen=3_member=306_pso,22484.281607928507583,22484.281607928507583,24683.855215276624222,24683.855215276624222,51671.449664445754024,51671.449664445754024,62089.052590204490116,62089.052590204490116,22484.281607928507583,22484.281607928507583,24683.855215276624222,24683.855215276624222,51671.449664445754024,51671.449664445754024,62089.052590204490116,62089.052590204490116,22484.281607928507583,22484.281607928507583,201868.7528921913181,201868.7528921913181,51671.449664445754024,51671.449664445754024,62089.052590204490116,62089.052590204490116
gen=3_member=307_pso,60464.639256648020819,60464.639256648020819,55412.85370147573849,55412.85370147573849,61386.25867897925491,61386.25867897925491,52970.491833984197001,52970.491833984197001,60464.639256648020819,60464.639256648020819,55412.85370147573849,55412.85370147573849,61386.25867897925491,61386.25867897925491,52970.491833984197001,52970.491833984197001,60464.639256648020819,60464.639256648020819,55412.85370147573849,55412.85370147573849,61386.25867897925491,61386.25867897925491,52970.491833984197001,52970.491833984197001
gen=3_member=308_pso,67303.342074290601886,67303.342074290601886,71959.843144526792457,71959.843144526792457,71959.843144526792457,71959.843144526792457,71959.843144526792457,71959.843144526792457,67303.342074290601886,67303.342074290601886,71959.843144526792457,71959.843144526792457,71959.843144526792457,71959.843144526792457,71959.843144526792457,71959.843144526792457,67303.342074290601886,67303.342074290601886,71959.843144526792457,71959.843144526792457,384223.53398198145442,384223.53398198145442,71959.843144526792457,71959.843144526792457
gen=3_member=309_pso,44748.668274403578835,44748.668274403578835,57670.121882933024608,57670.121882933024608,61136.030821535081486,61136.030821535081486,76048.406182233593427,76048.406182233593427,44748.668274403578835,44748.668274403578835,57670.121882933024608,57670.121882933024608,61136.030821535081486,61136.030821535081486,76048.406182233593427,76048.406182233593427,44748.668274403578835,44748.668274403578835,306225.31917254079599,306225.31917254079599,254548.08860675361939,254548.08860675361939,76048.406182233593427,76048.406182233593427
gen=3_member=310_pso,35561.152020221808925,35561.152020221808925,40624.094305745100428,40624.094305745100428,53499.453547744327807,53499.453547744327807,73760.962183915064088,73760.962183915064088,35561.152020221808925,35561.152020221808925,40624.094305745100428,40624.094305745100428,53499.453547744327807,53499.453547744327807,73760.962183915064088,73760.962183915064088,35561.152020221808925,35561.152020221808925,99297.83010483632097,99297.83010483632097,260169.80015479057329,260169.80015479057329,73760.962183915064088,73760.962183915064088
gen=3_member=311_pso,62260.934792520580231,62260.934792520580231,73728.746401397860609,73728.746401397860609,62260.934792520580231,62260.934792520580231,62260.934792520580231,62260.934792520580231,62260.934792520580231,62260.934792520580231,73728.746401397860609,73728.746401397860609,62260.934792520580231,62260.934792520580231,62260.934792520580231,62260.934792520580231,151509.75780222227331,151509.75780222227331,88117.399429815035546,88117.399429815035546,62260.934792520580231,62260.934792520580231,62260.934792520580231,62260.934792520580231
