segrech,01,02,03,04,05,06,07,08,09,10,11,12
s1r01,131500.0,128350.0,127300.0,127690.0,127490.0,128150.0,127280.0,127690.0,127490.0,128150.0,127280.0,127690.0
s1r02,173370.0,166500.0,164180.0,165030.0,164590.0,166050.0,164140.0,165030.0,164590.0,166050.0,164140.0,165030.0
s1r03,210770.0,200090.0,196530.0,197850.0,197160.0,199420.0,196480.0,197850.0,197160.0,199420.0,196480.0,197850.0
s1r04,247220.0,232880.0,228120.0,229910.0,228990.0,232000.0,228070.0,229910.0,228990.0,232000.0,228070.0,229910.0
s1r05,284670.0,267180.0,261330.0,263560.0,262410.0,266130.0,261270.0,263550.0,262410.0,266130.0,261270.0,263550.0
s1r06,317310.0,297050.0,290230.0,292850.0,291500.0,295860.0,290160.0,292850.0,291500.0,295860.0,290160.0,292850.0
s1r07,349660.0,326660.0,318840.0,321870.0,320310.0,325310.0,318750.0,321860.0,320310.0,325310.0,318750.0,321860.0
s1r08,382080.0,356340.0,347460.0,350930.0,349150.0,354840.0,347370.0,350930.0,349150.0,354840.0,347370.0,350930.0
s1r09,414410.0,385980.0,375960.0,379930.0,377900.0,384330.0,375860.0,379920.0,377900.0,384330.0,375860.0,379920.0
s1r10,446570.0,415540.0,404230.0,408780.0,406470.0,413730.0,404120.0,408770.0,406470.0,413730.0,404120.0,408770.0
s1r11,479100.0,445620.0,432720.0,438050.0,435360.0,443660.0,432600.0,438040.0,435360.0,443660.0,432600.0,438040.0
s1r12,516990.0,481190.0,465650.0,472380.0,469020.0,479050.0,465520.0,472370.0,469020.0,479050.0,465520.0,472370.0
s1r13,553240.0,515020.0,496030.0,504640.0,500380.0,512670.0,495880.0,504630.0,500380.0,512670.0,495880.0,504630.0
s1r14,589800.0,549270.0,526290.0,537120.0,531810.0,546690.0,526140.0,537110.0,531810.0,546690.0,526140.0,537110.0
s1r15,628900.0,585970.0,559220.0,572130.0,565820.0,583170.0,559050.0,572120.0,565820.0,583170.0,559050.0,572120.0
s1r16,674960.0,629220.0,599820.0,614100.0,607140.0,626200.0,599640.0,614090.0,607140.0,626200.0,599640.0,614090.0
s1r17,710910.0,663130.0,631120.0,646800.0,639190.0,659940.0,630930.0,646790.0,639180.0,659940.0,630930.0,646790.0
s1r18,745360.0,695530.0,661100.0,678060.0,669860.0,692180.0,660900.0,678050.0,669860.0,692180.0,660900.0,678050.0
s1r19,784600.0,732150.0,695620.0,713600.0,704970.0,728640.0,695420.0,713590.0,704970.0,728640.0,695420.0,713590.0
s1r20,813440.0,758840.0,719630.0,738960.0,729800.0,755190.0,719410.0,738950.0,729800.0,755190.0,719410.0,738950.0
s1r21,834690.0,778330.0,736660.0,757180.0,747620.0,774560.0,736440.0,757170.0,747620.0,774560.0,736440.0,757170.0
s1r22,837360.0,779740.0,737890.0,758050.0,749020.0,775930.0,737670.0,758040.0,749020.0,775930.0,737670.0,758040.0
s2r01,79659.0,76739.0,76321.0,76187.0,76456.0,76652.0,76318.0,76187.0,76456.0,76652.0,76318.0,76187.0
s2r02,111760.0,105930.0,105110.0,104820.0,105380.0,105760.0,105100.0,104820.0,105380.0,105760.0,105100.0,104820.0
s2r03,148180.0,139410.0,138170.0,137710.0,138580.0,139140.0,138160.0,137710.0,138580.0,139140.0,138160.0,137710.0
s2r04,199220.0,187090.0,185300.0,184680.0,185890.0,186700.0,185290.0,184670.0,185890.0,186700.0,185290.0,184670.0
s2r05,236650.0,220320.0,218370.0,216920.0,219130.0,219810.0,218350.0,216920.0,219130.0,219810.0,218350.0,216920.0
s2r06,265680.0,244380.0,243060.0,239550.0,244010.0,243750.0,243040.0,239540.0,244010.0,243750.0,243040.0,239540.0
s2r07,287710.0,261020.0,261150.0,254330.0,262270.0,260270.0,261120.0,254330.0,262270.0,260270.0,261120.0,254330.0
s2r08,303600.0,272570.0,273800.0,264310.0,275110.0,271740.0,273760.0,264310.0,275110.0,271740.0,273760.0,264310.0
s2r09,312000.0,279700.0,280420.0,270870.0,281970.0,278820.0,280390.0,270870.0,281970.0,278820.0,280390.0,270870.0
s3r01,1165600.0,1074500.0,1033100.0,1043400.0,1046000.0,1069800.0,1032800.0,1043400.0,1046000.0,1069800.0,1032800.0,1043400.0
s3r02,1191400.0,1097200.0,1055400.0,1064700.0,1068700.0,1092400.0,1055100.0,1064700.0,1068700.0,1092400.0,1055100.0,1064700.0
s3r03,1213400.0,1114200.0,1074300.0,1079500.0,1087900.0,1109300.0,1074100.0,1079500.0,1087900.0,1109300.0,1074100.0,1079500.0
s3r04,1235300.0,1127600.0,1093100.0,1089000.0,1106900.0,1122700.0,1092900.0,1089000.0,1106900.0,1122700.0,1092900.0,1089000.0
s3r05,1260700.0,1146600.0,1114800.0,1105400.0,1128700.0,1141500.0,1114500.0,1105400.0,1128700.0,1141500.0,1114500.0,1105400.0
s3r06,1293800.0,1175200.0,1143500.0,1132800.0,1157600.0,1170000.0,1143200.0,1132800.0,1157600.0,1170000.0,1143200.0,1132800.0
s3r07,1333900.0,1211500.0,1179300.0,1168200.0,1193700.0,1206200.0,1179100.0,1168200.0,1193700.0,1206200.0,1179100.0,1168200.0
s3r08,1384400.0,1259000.0,1226200.0,1215200.0,1240800.0,1253600.0,1225900.0,1215100.0,1240800.0,1253600.0,1225900.0,1215100.0
s3r09,1431100.0,1303000.0,1269700.0,1258600.0,1284300.0,1297500.0,1269400.0,1258600.0,1284300.0,1297500.0,1269400.0,1258600.0
