iteration,total_runs,obs_realization,par_realization,head,less_obs,extra_sfr,less_pi,greater_pi,g_obj_func
0,260,0,0,0,0,0,0,0,0
0,260,1,1,0,0,0,0,0,0
0,260,2,2,0,0,0,0,0,0
0,260,3,3,0,0,0,0,0,0
0,260,4,4,0,0,0,0,0,0
0,260,5,5,0,0,0,0,0,0
0,260,6,6,0,0,0,0,0,0
0,260,7,7,0,0,0,0,0,0
0,260,8,8,0,0,0,0,0,0
0,260,9,9,0,0,0,0,0,0
0,260,10,10,0,0,0,0,0,0
0,260,11,11,0,0,0,0,0,0
0,260,12,12,0,0,0,0,0,0
0,260,13,13,0,0,0,0,0,0
0,260,14,14,0,0,0,0,0,0
0,260,15,15,0,0,0,0,0,0
0,260,16,16,0,0,0,0,0,0
0,260,17,17,0,0,0,0,0,0
0,260,18,18,0,0,0,0,0,0
0,260,19,19,0,0,0,0,0,0
0,260,base,base,0,0,0,0,0,0
1,301,0,0,0,0,0,0,0,0
1,301,1,1,0,0,0,0,0,0
1,301,2,2,0,0,0,0,0,0
1,301,3,3,0,0,0,0,0,0
1,301,4,4,0,0,0,0,0,0
1,301,5,5,0,0,0,0,0,0
1,301,6,6,0,0,0,0,0,0
1,301,7,7,0,0,0,0,0,0
1,301,8,8,0,0,0,0,0,0
1,301,9,9,0,0,0,0,0,0
1,301,10,10,0,0,0,0,0,0
1,301,11,11,0,0,0,0,0,0
1,301,12,12,0,0,0,0,0,0
1,301,13,13,0,0,0,0,0,0
1,301,14,14,0,0,0,0,0,0
1,301,15,15,0,0,0,0,0,0
1,301,16,16,0,0,0,0,0,0
1,301,17,17,0,0,0,0,0,0
1,301,18,18,0,0,0,0,0,0
1,301,19,19,0,0,0,0,0,0
1,301,base,base,0,0,0,0,0,0
iteration,total_runs,obs_realization,par_realization,head,less_obs,extra_sfr,less_pi,greater_pi,g_obj_func
0,561,0,0,0,0,0,0,0,0
0,561,1,1,0,0,0,0,0,0
0,561,2,2,0,0,0,0,0,0
0,561,3,3,0,0,0,0,0,0
0,561,4,4,0,0,0,0,0,0
0,561,5,5,0,0,0,0,0,0
0,561,6,6,0,0,0,0,0,0
0,561,7,7,0,0,0,0,0,0
0,561,8,8,0,0,0,0,0,0
0,561,9,9,0,0,0,0,0,0
0,561,10,10,0,0,0,0,0,0
0,561,11,11,0,0,0,0,0,0
0,561,12,12,0,0,0,0,0,0
0,561,13,13,0,0,0,0,0,0
0,561,14,14,0,0,0,0,0,0
0,561,15,15,0,0,0,0,0,0
0,561,16,16,0,0,0,0,0,0
0,561,17,17,0,0,0,0,0,0
0,561,18,18,0,0,0,0,0,0
0,561,19,19,0,0,0,0,0,0
0,561,base,base,0,0,0,0,0,0
1,602,0,0,0,0,0,0,0,0
1,602,1,1,0,0,0,0,0,0
1,602,2,2,0,0,0,0,0,0
1,602,3,3,0,0,0,0,0,0
1,602,4,4,0,0,0,0,0,0
1,602,5,5,0,0,0,0,0,0
1,602,6,6,0,0,0,0,0,0
1,602,7,7,0,0,0,0,0,0
1,602,8,8,0,0,0,0,0,0
1,602,9,9,0,0,0,0,0,0
1,602,10,10,0,0,0,0,0,0
1,602,11,11,0,0,0,0,0,0
1,602,12,12,0,0,0,0,0,0
1,602,13,13,0,0,0,0,0,0
1,602,14,14,0,0,0,0,0,0
1,602,15,15,0,0,0,0,0,0
1,602,16,16,0,0,0,0,0,0
1,602,17,17,0,0,0,0,0,0
1,602,18,18,0,0,0,0,0,0
1,602,19,19,0,0,0,0,0,0
1,602,base,base,0,0,0,0,0,0
