iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,4,1000,0,0,0.5,100,0,0
1,4,1000,0,0,1,100,0,0
1,4,1000,0,0,0.5,1000,0,0
1,4,1000,0,0,1,1000,0,0
1,4,1000,0,0,0.5,10000,0,0
1,4,1000,0,0,1,10000,0,0
iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,4,1000,0,0,0.5,100,0,0
1,4,1000,0,0,1,100,0,0
1,4,1000,0,0,0.5,1000,0,0
1,4,1000,0,0,1,1000,0,0
1,4,1000,0,0,0.5,10000,0,0
1,4,1000,0,0,1,10000,0,0
