segrech 01 02 03 04 05 06 07 08 09 10 11 12
s1r01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
s1r02 0.0 0.0 0.0 10.0 10.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0
s1r03 10.0 10.0 10.0 10.0 0.0 10.0 0.0 0.0 0.0 10.0 0.0 0.0
s1r04 10.0 10.0 10.0 10.0 0.0 10.0 10.0 10.0 0.0 10.0 10.0 10.0
s1r05 10.0 10.0 10.0 10.0 10.0 0.0 10.0 10.0 10.0 0.0 10.0 10.0
s1r06 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0
s1r07 10.0 20.0 10.0 10.0 10.0 20.0 10.0 10.0 10.0 20.0 10.0 10.0
s1r08 20.0 20.0 10.0 20.0 20.0 20.0 20.0 10.0 20.0 20.0 20.0 10.0
s1r09 20.0 30.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0
s1r10 20.0 30.0 30.0 30.0 20.0 30.0 30.0 30.0 20.0 30.0 30.0 30.0
s1r11 30.0 30.0 40.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0
s1r12 30.0 40.0 40.0 40.0 30.0 40.0 40.0 30.0 40.0 40.0 40.0 30.0
s1r13 40.0 40.0 40.0 50.0 50.0 50.0 40.0 50.0 50.0 50.0 40.0 50.0
s1r14 50.0 60.0 50.0 50.0 50.0 60.0 50.0 50.0 50.0 60.0 50.0 50.0
s1r15 60.0 60.0 50.0 60.0 50.0 60.0 60.0 60.0 50.0 60.0 60.0 60.0
s1r16 60.0 70.0 60.0 60.0 60.0 70.0 60.0 60.0 60.0 70.0 60.0 60.0
s1r17 60.0 80.0 60.0 60.0 70.0 80.0 60.0 70.0 70.0 80.0 60.0 70.0
s1r18 60.0 90.0 60.0 70.0 60.0 80.0 60.0 70.0 60.0 80.0 60.0 70.0
s1r19 60.0 90.0 70.0 70.0 70.0 90.0 70.0 70.0 70.0 90.0 70.0 70.0
s1r20 60.0 110.0 60.0 80.0 60.0 100.0 70.0 70.0 60.0 100.0 70.0 70.0
s1r21 60.0 120.0 70.0 80.0 60.0 130.0 70.0 80.0 60.0 130.0 70.0 80.0
s1r22 60.0 170.0 60.0 90.0 60.0 170.0 70.0 90.0 60.0 170.0 70.0 90.0
s2r01 0.0 26.0 1.0 7.0 1.0 27.0 2.0 7.0 1.0 27.0 2.0 7.0
s2r02 0.0 50.0 10.0 10.0 0.0 50.0 0.0 10.0 0.0 50.0 0.0 10.0
s2r03 0.0 90.0 10.0 20.0 0.0 80.0 10.0 20.0 0.0 80.0 10.0 20.0
s2r04 0.0 120.0 10.0 30.0 0.0 120.0 0.0 30.0 0.0 120.0 0.0 30.0
s2r05 0.0 190.0 0.0 50.0 10.0 200.0 0.0 40.0 10.0 200.0 0.0 40.0
s2r06 0.0 350.0 10.0 90.0 0.0 350.0 0.0 90.0 0.0 350.0 0.0 90.0
s2r07 0.0 580.0 20.0 150.0 0.0 580.0 20.0 150.0 0.0 580.0 20.0 150.0
s2r08 0.0 780.0 20.0 190.0 10.0 780.0 10.0 190.0 10.0 780.0 10.0 190.0
s2r09 0.0 810.0 20.0 200.0 10.0 810.0 10.0 200.0 10.0 810.0 10.0 200.0
s3r01 0.0 1000.0 100.0 300.0 0.0 1000.0 100.0 300.0 0.0 1000.0 100.0 300.0
s3r02 100.0 1100.0 100.0 400.0 100.0 1200.0 100.0 400.0 100.0 1200.0 100.0 400.0
s3r03 100.0 1400.0 100.0 400.0 100.0 1400.0 100.0 400.0 100.0 1400.0 100.0 400.0
s3r04 0.0 2000.0 100.0 600.0 100.0 2000.0 100.0 600.0 100.0 2000.0 100.0 600.0
s3r05 100.0 2400.0 100.0 700.0 0.0 2400.0 100.0 700.0 0.0 2400.0 100.0 700.0
s3r06 0.0 2500.0 100.0 600.0 0.0 2500.0 100.0 600.0 0.0 2500.0 100.0 600.0
s3r07 100.0 2500.0 100.0 700.0 100.0 2500.0 100.0 700.0 100.0 2500.0 100.0 700.0
s3r08 0.0 2600.0 100.0 700.0 0.0 2600.0 100.0 700.0 0.0 2600.0 100.0 700.0
s3r09 0.0 2600.0 100.0 700.0 100.0 2600.0 100.0 700.0 100.0 2600.0 100.0 700.0
