segrech,01,02,03,04,05,06,07,08,09,10,11,12
s1r01,131700.0,128560.0,127530.0,127910.0,127710.0,128360.0,127520.0,127910.0,127710.0,128360.0,127520.0,127910.0
s1r02,173870.0,167020.0,164750.0,165580.0,165140.0,166580.0,164720.0,165580.0,165140.0,166580.0,164720.0,165580.0
s1r03,211570.0,200920.0,197450.0,198730.0,198060.0,200250.0,197410.0,198730.0,198060.0,200250.0,197410.0,198730.0
s1r04,248330.0,234010.0,229400.0,231110.0,230220.0,233140.0,229340.0,231110.0,230220.0,233140.0,229340.0,231110.0
s1r05,286030.0,268530.0,262900.0,265010.0,263910.0,267500.0,262830.0,265010.0,263910.0,267500.0,262830.0,265010.0
s1r06,319000.0,298700.0,292180.0,294640.0,293360.0,297520.0,292110.0,294630.0,293360.0,297520.0,292110.0,294630.0
s1r07,351800.0,328700.0,321300.0,324100.0,322640.0,327370.0,321220.0,324090.0,322640.0,327370.0,321220.0,324090.0
s1r08,384810.0,358900.0,350620.0,353750.0,352120.0,357420.0,350520.0,353750.0,352120.0,357420.0,350520.0,353750.0
s1r09,417940.0,389200.0,380030.0,383510.0,381700.0,387570.0,379930.0,383500.0,381700.0,387570.0,379930.0,383500.0
s1r10,451110.0,419550.0,409490.0,413310.0,411330.0,417760.0,409380.0,413300.0,411330.0,417760.0,409380.0,413300.0
s1r11,484950.0,450540.0,439580.0,443750.0,441580.0,448600.0,439470.0,443740.0,441580.0,448600.0,439470.0,443740.0
s1r12,524910.0,487190.0,475200.0,479760.0,477400.0,485080.0,475070.0,479760.0,477390.0,485080.0,475070.0,479760.0
s1r13,564250.0,522690.0,509540.0,514540.0,511940.0,520370.0,509400.0,514530.0,511940.0,520370.0,509400.0,514530.0
s1r14,604420.0,558810.0,544460.0,549920.0,547080.0,556270.0,544310.0,549910.0,547080.0,556270.0,544310.0,549910.0
s1r15,646770.0,597160.0,581610.0,587510.0,584450.0,594400.0,581440.0,587500.0,584450.0,594400.0,581440.0,587500.0
s1r16,694850.0,641510.0,624800.0,631140.0,627850.0,638530.0,624620.0,631130.0,627850.0,638530.0,624620.0,631130.0
s1r17,732660.0,676230.0,658600.0,665290.0,661810.0,673080.0,658410.0,665270.0,661810.0,673080.0,658410.0,665270.0
s1r18,768730.0,709290.0,690790.0,697810.0,694170.0,706000.0,690590.0,697800.0,694170.0,706000.0,690590.0,697800.0
s1r19,809240.0,746490.0,727030.0,734430.0,730590.0,743030.0,726830.0,734420.0,730590.0,743030.0,726830.0,734420.0
s1r20,839950.0,773940.0,753620.0,761360.0,757350.0,770350.0,753400.0,761350.0,757350.0,770350.0,753400.0,761350.0
s1r21,863010.0,794230.0,773160.0,781200.0,777040.0,790510.0,772940.0,781190.0,777040.0,790510.0,772940.0,781190.0
s1r22,865990.0,796120.0,774840.0,782980.0,778770.0,792380.0,774620.0,782960.0,778770.0,792380.0,774620.0,782960.0
s2r01,79679.0,77000.0,76358.0,76630.0,76495.0,76914.0,76354.0,76630.0,76495.0,76914.0,76354.0,76630.0
s2r02,111800.0,106470.0,105180.0,105730.0,105460.0,106300.0,105180.0,105730.0,105460.0,106300.0,105180.0,105730.0
s2r03,148240.0,140240.0,138290.0,139120.0,138710.0,139980.0,138280.0,139120.0,138710.0,139980.0,138280.0,139120.0
s2r04,199330.0,188260.0,185490.0,186660.0,186080.0,187880.0,185480.0,186660.0,186080.0,187880.0,185480.0,186660.0
s2r05,236830.0,222250.0,218670.0,220180.0,219430.0,221740.0,218650.0,220180.0,219430.0,221740.0,218650.0,220180.0
s2r06,265960.0,247800.0,243510.0,245330.0,244450.0,247170.0,243490.0,245330.0,244450.0,247170.0,243490.0,245330.0
s2r07,288130.0,266650.0,261820.0,263900.0,262920.0,265910.0,261790.0,263900.0,262920.0,265910.0,261790.0,263900.0
s2r08,304290.0,280090.0,274840.0,277130.0,276060.0,279270.0,274810.0,277130.0,276060.0,279270.0,274810.0,277130.0
s2r09,313190.0,287730.0,282170.0,284590.0,283460.0,286860.0,282140.0,284590.0,283460.0,286860.0,282140.0,284590.0
s3r01,1195800.0,1099400.0,1072300.0,1083000.0,1077600.0,1094700.0,1072000.0,1082900.0,1077600.0,1094700.0,1072000.0,1082900.0
s3r02,1222500.0,1123500.0,1095800.0,1106700.0,1101200.0,1118700.0,1095600.0,1106700.0,1101200.0,1118700.0,1095600.0,1106700.0
s3r03,1244900.0,1143400.0,1115400.0,1126500.0,1120900.0,1138500.0,1115100.0,1126500.0,1120900.0,1138500.0,1115100.0,1126500.0
s3r04,1267100.0,1162500.0,1134600.0,1145700.0,1140200.0,1157600.0,1134300.0,1145700.0,1140200.0,1157600.0,1134300.0,1145700.0
s3r05,1292600.0,1184700.0,1156500.0,1167800.0,1162300.0,1179700.0,1156200.0,1167800.0,1162300.0,1179700.0,1156200.0,1167800.0
s3r06,1325900.0,1214400.0,1185500.0,1197200.0,1191500.0,1209300.0,1185200.0,1197200.0,1191500.0,1209300.0,1185200.0,1197200.0
s3r07,1366100.0,1251300.0,1221600.0,1233600.0,1227700.0,1246100.0,1221300.0,1233600.0,1227700.0,1246100.0,1221300.0,1233600.0
s3r08,1416900.0,1299100.0,1268700.0,1281000.0,1275000.0,1293800.0,1268400.0,1281000.0,1275000.0,1293800.0,1268400.0,1281000.0
s3r09,1463600.0,1343300.0,1312200.0,1324800.0,1318600.0,1337900.0,1311900.0,1324800.0,1318600.0,1337900.0,1311900.0,1324800.0
