real_name,pi_const1,pi_const2,pi_const3,pi_const4,pi_const5,pi_const6,pi_const7,pi_const8,pi_const9,pi_const10,pi_const11,pi_const12,pi_const13,pi_const14,pi_const15,pi_const16,pi_const17,pi_const18,pi_const19,pi_const20,pi_const21,pi_const22,pi_const23,pi_const24
0,86.548880887232300552,86.548880887232300552,2719.2197828812709304,2719.2197828812709304,86.548880887232300552,86.548880887232300552,739.40308602600043741,739.40308602600043741,86.548880887232300552,86.548880887232300552,2719.2197828812709304,2719.2197828812709304,86.548880887232300552,86.548880887232300552,739.40308602600043741,739.40308602600043741,93102.201835600615595,93102.201835600615595,18599.680742500841006,18599.680742500841006,75324.312865685511497,75324.312865685511497,739.40308602600043741,739.40308602600043741
1,1473.7601308625119145,1473.7601308625119145,7587.9373892963940307,7587.9373892963940307,896.68779631025449817,896.68779631025449817,3714.8638123965483828,3714.8638123965483828,1473.7601308625119145,1473.7601308625119145,7587.9373892963940307,7587.9373892963940307,896.68779631025449817,896.68779631025449817,3714.8638123965483828,3714.8638123965483828,1473.7601308625119145,1473.7601308625119145,91263.35020191501826,91263.35020191501826,896.68779631025449817,896.68779631025449817,141208.59901089238701,141208.59901089238701
2,4944.6768224521347292,4944.6768224521347292,1397.3536946126748717,1397.3536946126748717,0,0,0,0,4944.6768224521347292,4944.6768224521347292,1397.3536946126748717,1397.3536946126748717,0,0,0,0,4944.6768224521347292,4944.6768224521347292,1397.3536946126748717,1397.3536946126748717,84400.883483790006721,84400.883483790006721,193313.38475441778428,193313.38475441778428
3,0,0,9170.1721287810487411,9170.1721287810487411,3243.6008334706989444,3243.6008334706989444,5360.6619967425094728,5360.6619967425094728,0,0,9170.1721287810487411,9170.1721287810487411,3243.6008334706989444,3243.6008334706989444,5360.6619967425094728,5360.6619967425094728,43080.714213334365922,43080.714213334365922,37903.837098144038464,37903.837098144038464,3243.6008334706989444,3243.6008334706989444,5360.6619967425094728,5360.6619967425094728
4,9908.2521700995912397,9908.2521700995912397,22572.565827664671815,22572.565827664671815,18273.062041599623626,18273.062041599623626,22943.119425428852992,22943.119425428852992,9908.2521700995912397,9908.2521700995912397,22572.565827664671815,22572.565827664671815,18273.062041599623626,18273.062041599623626,22943.119425428852992,22943.119425428852992,9908.2521700995912397,9908.2521700995912397,22572.565827664671815,22572.565827664671815,91070.268575745736598,91070.268575745736598,22943.119425428852992,22943.119425428852992
5,0,0,0,0,3196.1294681741665045,3196.1294681741665045,2106.0588943618085978,2106.0588943618085978,0,0,0,0,3196.1294681741665045,3196.1294681741665045,2106.0588943618085978,2106.0588943618085978,0,0,111625.37884432752617,111625.37884432752617,201826.41966599895386,201826.41966599895386,2106.0588943618085978,2106.0588943618085978
6,5559.4725177400769098,5559.4725177400769098,4815.5382302282368983,4815.5382302282368983,0,0,0,0,5559.4725177400769098,5559.4725177400769098,4815.5382302282368983,4815.5382302282368983,0,0,0,0,127942.47833429760067,127942.47833429760067,4815.5382302282368983,4815.5382302282368983,85556.01380268803041,85556.01380268803041,97698.362686144522741,97698.362686144522741
7,8848.7575483979617275,8848.7575483979617275,9643.6817148064656067,9643.6817148064656067,7276.051040739533164,7276.051040739533164,9779.099224807927385,9779.099224807927385,8848.7575483979617275,8848.7575483979617275,9643.6817148064656067,9643.6817148064656067,7276.051040739533164,7276.051040739533164,9779.099224807927385,9779.099224807927385,132408.30460339572164,132408.30460339572164,9643.6817148064656067,9643.6817148064656067,36147.271595463302219,36147.271595463302219,9779.099224807927385,9779.099224807927385
8,2192.4669450552869421,2192.4669450552869421,1524.2374021494495082,1524.2374021494495082,1524.2374021494495082,1524.2374021494495082,12925.149942684252892,12925.149942684252892,2192.4669450552869421,2192.4669450552869421,1524.2374021494495082,1524.2374021494495082,1524.2374021494495082,1524.2374021494495082,12925.149942684252892,12925.149942684252892,2192.4669450552869421,2192.4669450552869421,1524.2374021494495082,1524.2374021494495082,66890.512040758578223,66890.512040758578223,12925.149942684252892,12925.149942684252892
9,0,0,0,0,0,0,1140.5227926255890907,1140.5227926255890907,0,0,0,0,0,0,1140.5227926255890907,1140.5227926255890907,0,0,0,0,0,0,1140.5227926255890907,1140.5227926255890907
